time,minvar_ang_x(deg),minvar_ang_y(deg),minvar_ang_z(deg)
"2022-03-12/21:23:27",13.64773113476131,103.5466766957937,88.08681756819223
"2022-03-12/21:23:42",13.64075816989817,103.5391249967276,88.08344153494924
"2022-03-12/21:23:57",13.65266748109803,103.5508967389080,88.08173321989386
"2022-03-12/21:24:12",13.66959590833240,103.5688050908773,88.08711401515765
"2022-03-12/21:24:27",13.69910319340767,103.5984798165946,88.08626740704605
"2022-03-12/21:24:42",13.72331577089150,103.6215530588919,88.07707254582340
"2022-03-12/21:24:57",13.73535076695085,103.6323825070575,88.06827174111679
"2022-03-12/21:25:12",13.74729041490206,103.6444398032770,88.06825354076018
"2022-03-12/21:25:27",13.76843790820806,103.6661188233765,88.07037069750132
"2022-03-12/21:25:42",13.80579062384964,103.7034166821227,88.06752151721496
"2022-03-12/21:25:57",13.83801194671951,103.7344475644628,88.05747134985576
"2022-03-12/21:26:12",13.85635381834861,103.7515951278702,88.04834092687828
"2022-03-12/21:26:27",13.86586003330304,103.7615797499119,88.05087125244920
"2022-03-12/21:26:42",13.88867297452233,103.7853702252681,88.05583979322306
"2022-03-12/21:26:57",13.91856114897712,103.8149309939707,88.05167938253810
"2022-03-12/21:27:12",13.94461344399273,103.8395884180247,88.04069213146933
"2022-03-12/21:27:27",13.95590221857081,103.8499363638577,88.03371732097952
"2022-03-12/21:27:42",13.96523599978753,103.8600398836452,88.03818633103755
"2022-03-12/21:27:57",13.98760478287185,103.8832080535910,88.04200461779246
"2022-03-12/21:28:12",14.01603447373190,103.9112042314463,88.03723945591317
"2022-03-12/21:28:27",14.03613571352495,103.9300182720516,88.02736944132258
"2022-03-12/21:28:42",14.04282994635894,103.9362546387352,88.02389538858017
"2022-03-12/21:28:57",14.05136415740320,103.9458034448313,88.03004729498802
