time,minvar_ang_x(deg),minvar_ang_y(deg),minvar_ang_z(deg)
"2022-09-10/23:43:10",4.168031429581812,85.96724922366811,89.18735072133323
"2022-09-10/23:43:25",4.169337484953471,85.96320607820053,89.20028563174318
"2022-09-10/23:43:40",4.129775527898182,86.00744651569710,89.18221356555298
"2022-09-10/23:43:55",4.091730342107049,86.05010839097815,89.16506882817207
"2022-09-10/23:44:10",4.062514327925056,86.08609928293075,89.13824062417777
"2022-09-10/23:44:25",4.022030072347160,86.13417473064584,89.11055495526895
"2022-09-10/23:44:40",3.981809139284088,86.18018971778562,89.09155830262409
"2022-09-10/23:44:55",3.957612910179267,86.20997024777186,89.07227331233898
"2022-09-10/23:45:10",3.935438642739553,86.23625825362973,89.05905207927037
"2022-09-10/23:45:25",3.913724272848464,86.26224621433576,89.04554100064503
"2022-09-10/23:45:40",3.890873715529222,86.28867544674655,89.03513259080370
"2022-09-10/23:45:55",3.864166028246008,86.31783112920833,89.02964590569505
"2022-09-10/23:46:10",3.835972037123232,86.34927999285394,89.02161269961246
"2022-09-10/23:46:25",3.806952307735460,86.38196124228287,89.01250297708965
"2022-09-10/23:46:40",3.778036022176992,86.41573925517972,88.99951070956730
"2022-09-10/23:46:55",3.752727824741832,86.44525892812162,88.98865389849050
"2022-09-10/23:47:10",3.725893098513240,86.47957026144934,88.96751071599822
"2022-09-10/23:47:25",3.709085287569053,86.50046645470444,88.95661753256174
"2022-09-10/23:47:40",3.695273065403769,86.51841857380866,88.94535270300607
"2022-09-10/23:47:55",3.680957594625689,86.53571487181864,88.93805511282000
"2022-09-10/23:48:10",3.665261820470946,86.55320810981890,88.93480855577218
"2022-09-10/23:48:25",3.642072232718958,86.57836777152504,88.93225478773763
"2022-09-10/23:48:40",3.629512769566860,86.59289171065269,88.92813893560643
