time,minvar_x,minvar_y,minvar_z
"2019-08-02/02:26:04",0.7195478069449284,-0.6943834932553724,0.009083931704410988
"2019-08-02/02:26:19",0.7204551842677706,-0.6934545776352965,0.008066983224578087
"2019-08-02/02:26:34",0.7166785258101632,-0.6973327154363742,0.009948599132755719
"2019-08-02/02:26:49",0.7156954572747457,-0.6983751056299566,0.007226636329561074
"2019-08-02/02:27:04",0.7158917242888071,-0.6981495844927748,0.009284221419395710
"2019-08-02/02:27:19",0.7127031513460149,-0.7014182173371937,0.008167156725126957
"2019-08-02/02:27:34",0.7140666632691735,-0.7000404027661975,0.007227371760810015
"2019-08-02/02:27:49",0.7109927014505151,-0.7031439124861466,0.008832712933901031
"2019-08-02/02:28:04",0.7102770578720485,-0.7038953784321593,0.006147949452730529
"2019-08-02/02:28:19",0.7103151896781030,-0.7038391166988064,0.007926482019444217
"2019-08-02/02:28:34",0.7078466493313992,-0.7063307544728521,0.007070100149415361
"2019-08-02/02:28:49",0.7097749313219153,-0.7043985542812913,0.006497968405377833
"2019-08-02/02:29:04",0.7082485050377557,-0.7059173923305655,0.008043029093473146
"2019-08-02/02:29:19",0.7086861459157721,-0.7054963838821894,0.006228877603823272
"2019-08-02/02:29:34",0.7094011348013882,-0.7047636944863305,0.007626590095245859
"2019-08-02/02:29:49",0.7082020116310577,-0.7059742162653377,0.007093425848317197
"2019-08-02/02:30:04",0.7095151151507217,-0.7046573185790084,0.006809166299918082
"2019-08-02/02:30:19",0.7087858230368321,-0.7053831308214901,0.007569399875389534
"2019-08-02/02:30:34",0.7090932825587534,-0.7050816887427206,0.006821204421909684
"2019-08-02/02:30:49",0.7093340064386834,-0.7048348434939461,0.007287709277330191
"2019-08-02/02:31:04",0.7092554250969993,-0.7049156786462155,0.007115333387882329
"2019-08-02/02:31:19",0.7093726731821155,-0.7047963319780294,0.007248515211735016
"2019-08-02/02:31:34",0.7096492677627279,-0.7045205320612334,0.006981165230884576
"2019-08-02/02:31:49",0.7098909509995195,-0.7042713510108655,0.007530062040143623
"2019-08-02/02:32:04",0.7097279120356838,-0.7044370186198471,0.007401194190784503
