time,minvar_ang_x(deg),minvar_ang_y(deg),minvar_ang_z(deg)
"2022-03-11/20:40:26",13.69924646827338,103.6009864764841,88.10208021339339
"2022-03-11/20:40:41",13.72003451734586,103.6227920305030,88.10756880403135
"2022-03-11/20:40:56",13.73711340353098,103.6369367489008,88.08672965947034
"2022-03-11/20:41:11",13.75609213083069,103.6568218648364,88.09154791325152
"2022-03-11/20:41:26",13.76998212959925,103.6714079064891,88.09531223372406
"2022-03-11/20:41:41",13.79161238955871,103.6931719912152,88.09479335586065
"2022-03-11/20:41:56",13.81021151259012,103.7110515811965,88.08872743671687
"2022-03-11/20:42:11",13.82895477537541,103.7290147853913,88.08225293187813
"2022-03-11/20:42:26",13.84190358812409,103.7416977438700,88.07961628980644
"2022-03-11/20:42:41",13.86170378195791,103.7613875146111,88.07757204872375
"2022-03-11/20:42:56",13.88647231297515,103.7859635542478,88.07465079900432
"2022-03-11/20:43:11",13.90970981150357,103.8086354950564,88.06932802897985
"2022-03-11/20:43:26",13.92750352974040,103.8258643078645,88.06437148000020
"2022-03-11/20:43:41",13.94482373694296,103.8433189168613,88.06413166200984
"2022-03-11/20:43:56",13.96699774559194,103.8654748844329,88.06255273957436
"2022-03-11/20:44:11",13.98801972128770,103.8859896743254,88.05777075258938
"2022-03-11/20:44:26",14.00499228867052,103.9024371064050,88.05313774485251
"2022-03-11/20:44:41",14.01814309415032,103.9158276930343,88.05387846935423
"2022-03-11/20:44:56",14.03697054678188,103.9348149071478,88.05371317166939
"2022-03-11/20:45:11",14.05728666800125,103.9547262004140,88.04966499149350
"2022-03-11/20:45:26",14.07349659753801,103.9703723750151,88.04482373910747
"2022-03-11/20:45:41",14.08462726603318,103.9815285889611,88.04426358583277
"2022-03-11/20:45:56",14.09898412934974,103.9961598425389,88.04516055403668
