time,minvar_ang_x(deg),minvar_ang_y(deg),minvar_ang_z(deg)
"2022-04-22/07:37:17",10.50761094424811,79.54274927052151,89.73445484348265
"2022-04-22/07:37:32",10.44729151746858,79.60419021275530,89.70036875219300
"2022-04-22/07:37:47",10.43593904907769,79.61630749458379,89.67863537633589
"2022-04-22/07:38:02",10.38921384849821,79.66319493620240,89.67494928160086
"2022-04-22/07:38:17",10.34429937120992,79.70922770178102,89.64630900919839
"2022-04-22/07:38:32",10.33335310151983,79.72094875928556,89.62735804081966
"2022-04-22/07:38:47",10.28962050323777,79.76500771786426,89.62041205020559
"2022-04-22/07:39:02",10.24735618473682,79.80859480943955,89.59108473331978
"2022-04-22/07:39:17",10.23932526093586,79.81722022678117,89.57833807997820
"2022-04-22/07:39:32",10.19550238790402,79.86142562313029,89.57118805261912
"2022-04-22/07:39:47",10.15675125135360,79.90178019322340,89.53953379537016
"2022-04-22/07:40:02",10.14563606243117,79.91316481293049,89.53454111903790
"2022-04-22/07:40:17",10.09401281561989,79.96554835646801,89.52127141297004
"2022-04-22/07:40:32",10.05260368486568,80.00881621988555,89.48846948177160
"2022-04-22/07:40:47",10.03334567376281,80.02857854836304,89.48015951524538
"2022-04-22/07:41:02",9.989706580964333,80.07346213515494,89.46018394307735
"2022-04-22/07:41:17",9.939325667342043,80.12571717284594,89.43119014908076
"2022-04-22/07:41:32",9.922131905978979,80.14381424202192,89.41758092860933
"2022-04-22/07:41:47",9.876449373267011,80.18992618027393,89.41238505404814
"2022-04-22/07:42:02",9.841944461904093,80.22609166899201,89.38864087032080
"2022-04-22/07:42:17",9.815237808449996,80.25386954272105,89.37400269499869
"2022-04-22/07:42:32",9.769738996362239,80.30023828914770,89.36320485683649
"2022-04-22/07:42:47",9.734586841309980,80.33760534371036,89.33409213852902
