time,minvar_ang_x(deg),minvar_ang_y(deg),minvar_ang_z(deg)
"2022-03-05/10:14:58",14.04211196119288,103.9293988661829,87.98377833716572
"2022-03-05/10:15:13",14.12011426543284,104.0034061361127,87.95270355094389
"2022-03-05/10:15:28",14.09709858915093,103.9806109606882,87.95569508517319
"2022-03-05/10:15:43",14.11258027502929,103.9973050686317,87.96242922822505
"2022-03-05/10:15:58",14.15926497663879,104.0445765366890,87.96303661370116
"2022-03-05/10:16:13",14.12655236297293,104.0116946785807,87.96416869765270
"2022-03-05/10:16:28",14.14371999443765,104.0314452297326,87.97974582677811
"2022-03-05/10:16:43",14.17599549751276,104.0600625136390,87.95386765319091
"2022-03-05/10:16:58",14.15487465669845,104.0405894821656,87.96594271210800
"2022-03-05/10:17:13",14.21084056518347,104.0954039728379,87.95469879802768
"2022-03-05/10:17:28",14.19151838006522,104.0753098352350,87.95103493745411
"2022-03-05/10:17:43",14.19788204901595,104.0827962942036,87.95784570328173
"2022-03-05/10:17:58",14.22044522570228,104.1064105638247,87.96312483849763
"2022-03-05/10:18:13",14.20442503914898,104.0890835911571,87.95574915981041
"2022-03-05/10:18:28",14.21938359058398,104.1073069121348,87.97594310291788
"2022-03-05/10:18:43",14.24227739971185,104.1270922162550,87.95419139561845
"2022-03-05/10:18:58",14.22042389684862,104.1084229613044,87.97636793263574
"2022-03-05/10:19:13",14.25590417827290,104.1431290464231,87.96893049154822
"2022-03-05/10:19:28",14.26109156340876,104.1477037279959,87.96458810657701
"2022-03-05/10:19:43",14.25111662142657,104.1383371909700,87.96922422109611
"2022-03-05/10:19:58",14.28066598914640,104.1669956444462,87.96143107588938
"2022-03-05/10:20:13",14.27203215050670,104.1574650211324,87.95618392363728
"2022-03-05/10:20:28",14.28264101153830,104.1701432086026,87.96894656780886
