rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
-30,34.85951338419134,26.990897076545544,205.20580295469685,-32.67161188390066,-0.42633493108040454,-4.196033962825073,789824.6560874681,19.794494722179383,95.38507916634836,25.780170622848907,-123403.31788374606,1.2196762641262853,-0.160604938798435,117.19335596443345,-61815.51583600016,32.942718248239316,100.7707921285733,117.19981265489314,97.31785129198343,75.17724031955174,0.6014245453284746,0.7476155740421889,78.27627498120394,-7.501455106965798,23975.69775923642,-1224.5941038777978,-527.4369850574956
-29,34.96830189046667,23.885934747343978,204.61973691576472,-32.800481051992975,-0.7640777852085573,-3.6917058564021685,788864.5610349623,19.79201518788705,95.38575230405831,25.776065743374463,-123379.70198934934,1.1435856248833212,-0.14958332940345428,117.1967702179218,-60681.8949183735,33.01642113001034,100.7698921951169,117.20244499483036,96.41990882661841,75.17951919434981,0.5638264470043369,1.33444738581682,78.27778333355914,-7.452097125682108,23893.097253897162,-1224.3706855461742,-517.7528072989442
-28,34.66766875479059,25.422492195169447,207.26847795285144,-32.98623288168479,-1.665200222985873,-1.7342662598445027,787694.8688164126,19.81211053814109,95.3837088516847,25.77453450556416,-123684.8645138044,1.1125767475925146,-0.14610693399250874,117.19893184109631,-60213.927344664815,33.073737783434915,100.77151515808916,117.20430367076708,93.00576034193227,75.18066392868933,0.548565671225626,2.88993357214431,78.26596689027248,-7.481442927861998,23816.32441951971,-1227.3792283441312,-513.7518457838275
-27,34.761382434652674,23.33528250496063,207.83570754298202,-33.02763497682101,-1.8003077586253915,1.933668013276005,786630.8149342996,19.828718856197632,95.38174553322314,25.77319927564124,-123936.66075581213,1.0802065066716753,-0.14228012193301462,117.20153399260127,-59723.150991004746,33.13313827836814,100.77258195235734,117.20659819288768,86.65428601116952,75.18160968704314,0.5326213856837112,3.1200555790317233,78.2561684157987,-7.503557722088469,23741.512449723865,-1229.8648933536917,-509.55451238946426
-26,34.958488805485885,23.9349354658445,205.85762664220218,-32.62928124707579,0.9679685176109804,6.227469752337861,786318.9201444032,19.838008263687986,95.38050265408093,25.77237591640207,-124077.88103790233,1.044313783198871,-0.137478048971893,117.20471559917502,-59177.520275539406,33.23233872703124,100.77302326908543,117.20944863864528,79.19938492082106,75.18216030381359,0.5149058704937558,-1.6992176315936967,78.25067070031233,-7.499543276128077,23661.25738556011,-1231.2608772943922,-504.8869435260521
-25,36.24631019166126,36.520372253097236,201.62612205140857,-31.747641701062037,7.32178818749331,7.2958488906826275,787079.0877600412,19.83983061718344,95.3802278227144,25.77220552709624,-124105.66216258028,1.0063415572727417,-0.13175107150392798,117.2082644478636,-58598.60743167105,33.38788323444906,100.7730783302878,117.21265860202584,77.37800514083624,75.18226879507908,0.49612301396198283,-12.986750548633113,78.24958847860185,-7.4587888354105,23573.79418854401,-1231.535884572455,-499.9341208583274
-24,35.64809529141122,25.46723813582119,202.94477414815887,-31.17101148645212,12.263385597341124,1.3129755527428892,787720.160562411,19.83410986216222,95.3811919460061,25.772746860361444,-124018.19167005077,0.9678149098752612,-0.12525814970825136,117.21191070718304,-58009.552331949715,33.522328203746596,100.77300318931381,117.21597317316653,87.75531088542682,75.18193912339268,0.4770241370033791,-21.475805823885185,78.25299794778466,-7.374436793138052,23498.37265999836,-1230.6688075681159,-494.89460149130474
-23,38.32085601560551,22.167703506558052,219.34146100827783,-32.01417079456277,7.550715383353743,-6.246977053135701,785601.0859143424,19.821354789326833,95.38356613591665,25.773921283186393,-123822.62777898689,0.9302481882947364,-0.11826583542265036,117.2153688948548,-57433.5516518766,33.4805190635727,100.77304110128385,117.21911982972978,100.75358048559515,75.18125412102026,0.4583627562076102,-13.270988725119627,78.2606266737842,-7.245352217995876,23464.423727202247,-1228.7277075873558,-489.96743650100314
-22,37.55773012337318,22.48125584095535,238.30619905520388,-33.22229872794383,-1.3024876619757944,-1.7667684885110357,781005.680592088,19.802350356373438,95.38742068577432,25.775552831782644,-123530.50015563783,0.8953269653506803,-0.11118297435099883,117.21836672765437,-56896.74397742693,33.29473048051798,100.77337063185625,117.22183870903723,93.04180102352015,75.18034413757537,0.44098430355699736,2.245144039434404,78.27203109061539,-7.078832110391646,23457.336020457784,-1225.8248323053276,-485.3766551013883
-21,39.210424916185545,26.10412627190997,202.0871048435597,-32.222635355623254,4.617381758397961,7.355379033247713,780689.8236246029,19.778007889220905,95.39272310520786,25.777408768835556,-123155.4996608329,0.8647133266215576,-0.10451415806513889,117.22070136043784,-56425.160584233556,33.37244438585505,100.77408407089882,117.22393731563288,77.26730955820149,75.17935994256227,0.42572752207885683,-8.154754808327311,78.28668245471428,-6.891663703754042,23393.246673758764,-1222.0949542363273,-481.3450381922016
-20,39.402426896659975,28.985852132221776,203.41695137263102,-31.59486267198464,11.80602098971234,-1.8973398754622215,785806.064593636,19.749414165311943,95.39931141739623,25.779228448562804,-122714.22821452463,0.83997179818636,-0.09881314497818812,117.22227609927246,-56043.346494582525,33.78190902649102,100.77517848254877,117.22532717187627,93.21967598928708,75.17845439684746,0.4133844315011617,-20.489157697672216,78.3039353937472,-6.709361365879043,23261.150338704196,-1217.7029111962827,-478.08223569648504
-19,42.20127183817837,27.162708906499052,252.47296640176492,-33.611495773924545,-0.32549162540788906,-3.3446916111443974,784318.1001061463,19.717788369057736,95.4069013087557,25.780766366153795,-122225.56804163689,0.8223608164960107,-0.09458681398389028,117.22313238642299,-55771.227558911974,33.77906977600801,100.77656428918286,117.22605508359793,95.68254982057645,75.17775841643454,0.40459300252121855,0.5548314062655699,78.32305362137838,-6.561249852288562,23219.055625481364,-1212.837219682397,-475.7579491960179
-18,49.21503963373557,38.58464706478762,285.15935742983754,-32.2608023433658,7.244777946814287,6.985651716519252,783248.2509103665,19.6843796879407,95.41512262335164,25.78183191087064,-121709.02840299407,0.8127532745241267,-0.09222219266327907,117.22343892601708,-55622.694079643596,33.79416377484242,100.77808931314698,117.22629272675873,78.07027664796637,75.17736120404777,0.3997954242438997,-12.656879847164035,78.34327337402044,-6.473598972875031,23177.027137846937,-1207.6933511292177,-474.4899184800958
-17,50.75122316776754,31.282318598252715,276.1812354580024,-33.042733394184054,6.848427305746377,-6.245870542605561,790244.8152186873,19.65068368538095,95.42349257626802,25.7823111582126,-121188.0365271667,0.8115879850351911,-0.09193341573799518,117.22345543833676,-55604.66272718215,34.318130566162935,100.77956079193275,117.22630093845879,100.4862262573828,75.17730074643276,0.3992135581812426,-11.709320990040359,78.36367571770121,-6.462687046041341,23027.035627571586,-1202.5060992016906,-474.3360686299687
-16,54.060251006795205,28.164368365792537,332.3914515819767,-33.56106854055452,2.291787494145326,6.413246606943447,787756.4814472875,19.618195596123222,95.43151022390084,25.78219571901635,-120686.02401710609,0.8188748018408715,-0.09373143146621574,117.22348133413473,-55717.26481359261,34.245106855485076,100.78079359756948,117.22637893245943,79.20621099742672,75.17755411060779,0.40285145888378177,-3.90649705721777,78.38333994604639,-6.529867335219529,23003.47564315197,-1197.510157530816,-475.2963054987341
-15,48.83075791361797,35.12691236047693,283.82722198151885,-33.13272594401859,9.020387259987212,-5.323685764488931,794667.5520637298,19.58846597315179,95.43868526151725,25.781583644530002,-120227.17461095328,0.8341200172112179,-0.09741074508931347,117.22379516351565,-55952.56286923358,34.74890710397385,100.78164862140414,117.22680323882523,98.81267266704168,75.17804269604132,0.410458685912597,-15.22966729333169,78.40131494260648,-6.660981014271942,22868.850225590333,-1192.9470916138523,-477.30178869794713
-14,53.617434896203044,28.513637999057085,393.0259543942781,-34.06786455672227,2.9177381496639505,6.605308225591757,794578.4610366328,19.56304943682749,95.44459030625505,25.780666572962797,-119835.57489504258,0.8564124592202869,-0.10259013351063548,117.22459960026508,-56296.02563899951,34.82474247026456,100.7820692928207,117.22777281206989,79.0663071615025,75.17864529237339,0.4215730924062095,-4.895144742144904,78.41665482412887,-6.830943797156291,22816.49208791971,-1189.0565031648857,-480.22771642389523
-13,52.347557752097735,29.253613124815605,362.11328212535483,-34.24855789943121,5.895161683438061,-6.254933409891011,801308.8036729753,19.543245913286583,95.44895023851672,25.779690491759574,-119531.11373732539,0.8846219245050632,-0.1088007910753583,117.22599015761314,-56729.71504486197,35.31063354609684,100.78210656814508,117.22937840829093,100.20322983794165,75.17922491084485,0.43562040264559043,-9.766546341917513,78.42857844954897,-7.011668456523432,22693.13017640688,-1186.0350791189599,-483.920633335456
