rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3
0.0,23.152352469886452,13.765163820707722,88.36375769794573,-100.83149905209397,66.32685115850101,-1.2568174733000428,-116786.60974470638,-74.20050729560246,-93.44811960588196,1.9439223455109844,37620.318932738366,-0.019217755006134502,0.9678770491436338,95.4354607017881,-64151.73907195495
2.0,23.152351264780663,13.765159310423341,88.36375877946413,-103.08484895102393,62.76747807822153,-1.2568174726005383,-116786.60965198957,-70.89401404726563,-95.98075280932531,1.9439223463905246,37620.32659053701,-0.05298451081769915,0.9666180005362891,95.43546070202626,-64151.73031009599
4.0,23.15235279561545,13.765161198301831,88.36375816598596,-105.21260585245219,59.13163265058857,-1.2568174734323485,-116786.60844341306,-67.5011472905305,-98.39645037642507,1.943922348142661,37620.31925245388,-0.08668677834250155,0.9641808023011929,95.43546070225219,-64151.725586422435
6.0,23.152353281573884,13.765161213413343,88.36375780040639,-107.21217738327411,55.42374416067769,-1.2568174770596225,-116786.60918194531,-64.02604081625859,-100.6922660212891,1.943922346867255,37620.318991127,-0.12028326911204398,0.9605670049062061,95.43546070199628,-64151.73305628095
8.0,23.152347866824673,13.765161918588353,88.36375785599844,-109.08112739060007,51.64833042869139,-1.2568174727390795,-116786.60958568835,-60.472928501262416,-102.86540343438635,1.9439223492357038,37620.3202724768,-0.15373358402781295,0.9557860388774525,95.43546070245397,-64151.71902952271
10.0,23.152354092071192,13.765164169946958,88.36375815938725,-110.8171788828369,47.80999138725658,-1.2568174765780558,-116786.60835407762,-56.84613927565723,-104.91321505846156,1.9439223453487326,37620.322559538065,-0.18699553905916236,0.9498337707583994,95.4354607013378,-64151.753135627456
12.0,23.15235770045827,13.765160857624519,88.36375798955677,-112.41821665512215,43.91340290688582,-1.2568174708368007,-116786.60948699576,-53.1500916632196,-106.83320677655061,1.943922346562781,37620.319945513984,-0.22003111956785215,0.942732758959196,95.43546070221622,-64151.72641932163
14.0,23.152353306309934,13.765163702163212,88.36375794733394,-113.88229016265974,39.96331281733483,-1.256817476863844,-116786.6098291246,-49.38928886977151,-108.62303850720242,1.9439223467023004,37620.318598844526,-0.25279802988876315,0.9344796551765544,95.43546070222853,-64151.72592557798
16.0,23.15235457478619,13.76516563290156,88.36375787620172,-115.20761569899705,35.96453379966865,-1.2568174682048312,-116786.60863390623,-45.56831291796052,-110.28052946204231,1.9439223482901988,37620.319695131264,-0.2852567628839992,0.9250874108053233,95.43546070211633,-64151.72923757552
18.0,23.15235606496386,13.765161717596637,88.36375839327562,-116.39257841758251,31.921937239602503,-1.2568174739983309,-116786.60964858466,-41.69181912942884,-111.80366020406962,1.9439223477942091,37620.32358485321,-0.3173682432498148,0.9145690642122223,95.4354607022086,-64151.72620849326
20.0,23.152353038888567,13.765159765581478,88.36375847438937,-117.43573481244484,27.84044903073943,-1.2568174729826984,-116786.60828974817,-37.764530228936394,-113.19057566503211,1.9439223477219147,37620.32563933774,-0.34909196992547453,0.9029333490229903,95.43546070162041,-64151.743921729925
21.999999999999996,23.1523518298264,13.765160694982836,88.36375820588037,-118.33581381951544,23.72504140249757,-1.256817473701106,-116786.60784772772,-33.79123067205527,-114.43958687335842,1.943922349374885,37620.31993310554,-0.38039142919305224,0.8902006692544749,95.43546070172125,-64151.74061398575
24.0,23.15235340400794,13.765156355758064,88.36375784979393,-119.09171875996249,19.580728216718377,-1.256817475869872,-116786.60925110236,-29.776761907755553,-115.54917048037132,1.9439223471672094,37620.31864656866,-0.4112281352133361,0.876384862759978,95.43546070225503,-64151.72593434324
26.000000000000004,23.15235406824948,13.765160724065638,88.36375792727507,-119.70252884448705,15.412559083232631,-1.256817471458269,-116786.60955842357,-25.726014870169287,-116.5179749380806,1.9439223467178846,37620.31953926289,-0.4415624496974772,0.8614981782839867,95.4354607021014,-64151.73481171322
28.0,23.15235132729024,13.765165811912082,88.36375816586607,-120.1674998995066,11.225612245530959,-1.2568174756476718,-116786.6088891212,-21.643924663624368,-117.34482017776308,1.943922345999247,37620.32057157095,-0.47136014121545955,0.8455646345328307,95.43546070232695,-64151.72283214107
29.999999999999996,23.152350397606007,13.765157722982108,88.36375810804414,-120.48606530067242,7.024988600124916,-1.2568174742595806,-116786.60911693475,-17.535464709898616,-118.0286987796744,1.9439223469737252,37620.32202989685,-0.5005837565815765,0.8286009915682082,95.43546070278857,-64151.709558703405
32.0,23.152344994429733,13.76516100741302,88.36375774484108,-120.65783718063545,2.81580639982502,-1.2568174735608888,-116786.60699186297,-13.405640149813783,-118.56877816994131,1.9439223477842242,37620.31878141109,-0.5291951831669689,0.8106238861669918,95.43546070216065,-64151.72724956996
34.0,23.15235268023894,13.765164354952782,88.363758365022,-120.68260569935056,-1.396807021259245,-1.2568174745487635,-116786.60955821851,-9.259483386662701,-118.96439896277909,1.9439223471763654,37620.322230748716,-0.5571616432623037,0.7916591644915993,95.435460701509,-64151.74549179358
36.0,23.15235388334997,13.7651591579037,88.36375833609246,-120.56034135807046,-5.607718180409738,-1.256817472971209,-116786.60842990046,-5.1020451400219455,-119.21508033387032,1.9439223475446659,37620.322608459974,-0.5844521622642278,0.7717341983450715,95.43546070217813,-64151.72877600612
38.0,23.15235050776016,13.76516177823876,88.3637575307304,-120.29119270157406,-9.81179736144042,-1.2568174753652708,-116786.60850095848,-0.938390264492594,-119.32051722930794,1.9439223467426372,37620.31658944919,-0.6110297394528537,0.7508675906647484,95.43546070233008,-64151.72458366005
40.0,23.152355024962546,13.765164523916328,88.3637583966973,-119.87548767662474,-14.003922493773665,-1.2568174766433355,-116786.60993520815,3.2264068351869386,-119.28057910655,1.943922346588314,37620.32276216209,-0.6368620652896777,0.7290851330174941,95.43546071056164,-64151.72765931798
42.0,23.152348941215116,13.765164642108747,88.36375815474918,-119.31373284635688,-18.178985931027672,-1.2568174756053432,-116786.61029139918,7.387273742396831,-119.09531680965739,1.943922346427872,37620.320520253925,-0.6619191906882055,0.706415253427165,95.43546070226208,-64151.722837184316
