rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3
0.0,83.18811453732248,165.35159119632817,64.55549540621963,52.47307459042512,-83.47905670000051,9.215727069892813,-63872.06638722656,61.88702357441463,75.93019449623483,13.273726243898919,-39550.17547526931,-0.22242564211365254,0.1903708184846261,114.36218744161168,-75220.15378796723
2.0,83.18811995888932,165.35159070582577,64.5554953992802,55.35448647355169,-81.59691960867893,9.215727070834085,-63872.0667983734,59.19939809885877,78.04376585384591,13.27372624524475,-39550.17567953622,-0.22893388692444872,0.18249216312767136,114.36218744102925,-75220.15286528146
4.0,83.18809477360608,165.3515904208846,64.55549535940054,58.168457442170734,-79.61536925154353,9.215727074383787,-63872.06680032361,56.43964727655771,80.06225289657186,13.273726244957116,-39550.175581384094,-0.23516340314188064,0.17439144780474516,114.36218744122851,-75220.15429063546
6.0,83.18811927039124,165.35159044866967,64.55549562246043,60.91155910884327,-77.53681984357578,9.215727070552981,-63872.06636860239,53.61113344213225,81.98319637341108,13.27372624261597,-39550.173870309685,-0.24110625614094408,0.16607787340896632,114.3621874407567,-75220.15098363449
8.0,83.18812315488536,165.35159142813595,64.55549556272369,63.58044942206872,-75.36380375647732,9.215727064476061,-63872.06618120932,50.71730269465461,83.80425601847791,13.273726242941585,-39550.17455210755,-0.24675548567089886,0.15756252830918668,114.36218744182165,-75220.15495276536
10.0,83.18810727411477,165.3515916626792,64.55549602331472,66.17187674852255,-73.09896846930788,9.215727067708226,-63872.066502634414,47.761680736072776,85.52321301941298,13.273726244438995,-39550.17270850528,-0.25210405298309835,0.1488547493131101,114.36218744108128,-75220.15309678622
12.0,83.18811865873644,165.35159037083756,64.55549531641203,68.68268383731142,-70.74507335028818,9.215727061435203,-63872.06680517992,44.747868502539504,87.13797328925328,13.273726244794446,-39550.175790513094,-0.2571453547641891,0.1399657117864155,114.36218744120559,-75220.15245207454
14.0,83.1881287710699,165.35159182508738,64.55549522629008,71.10981166162321,-68.30498629798991,9.215727062693771,-63872.0655532783,41.679537905107026,88.64656925262078,13.273726244878146,-39550.17475505272,-0.26187340549189303,0.13090626008600612,114.36218744082856,-75220.15283493418
16.0,83.1881060793815,165.35159027801672,64.55549548823797,73.45030312646892,-65.78168008919512,9.215727067647704,-63872.06631645692,38.560427206549335,90.0471630466036,13.273726243695098,-39550.174508563854,-0.2662824829658379,0.12168724183076099,114.36218743980811,-75220.15307826154
18.0,83.1881124346495,165.35159064049773,64.55549554752487,75.70130671358717,-63.17822905655517,9.21572706342205,-63872.06622306695,35.39433656663432,91.3380482533292,13.273726244006648,-39550.174629874185,-0.27036706907017827,0.11231989951409892,114.36218743998545,-75220.15170646801
20.0,83.18811981242571,165.35159068983762,64.55549569650059,77.86007991956662,-60.49780507879649,9.215727072603421,-63872.06636934397,32.18512338114099,92.51765210575589,13.273726244312488,-39550.17428953227,-0.2741221890619172,0.10281574294736694,114.36218743935376,-75220.15062800964
21.999999999999996,83.1881191380102,165.3515919184193,64.555495455252,79.92399260562713,-57.743673835086334,9.215727073103462,-63872.06692994778,28.93669757249991,93.58453747944843,13.27372624617001,-39550.1750990371,-0.2775434948131812,0.09318651164228685,114.36218744062856,-75220.15191656955
