rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
-30,488.34624366405933,606.851662464672,280.35271389359207,85.76802278362409,-28.72475239026658,38.13425624346657,-63196.90374363432,-17.590442391094562,96.2278412750828,14.202407644034665,-39539.345041804154,0.778031784496054,-0.9541407797621994,114.35261007463328,-75068.74600467026,98.16051462444946,98.84801203294015,114.35923726995739,67.13950196190574,81.73919538504666,0.6168349712243586,-18.516323490579794,-79.64071307647306,-50.8052815852968,-643.8118624929608,-400.001418628713,-656.4292294767789
-29,2098.124981075361,1153.7662119107194,618.4957786775348,72.52826600620519,-44.50685580657004,47.6924005466399,-63625.38935766625,-17.592227318926604,96.22807217018345,14.202602121062863,-39617.139791900416,0.7755546106882478,-0.9525485423274558,114.35486073460483,-75213.57330874093,97.54883214859527,98.84858240076103,114.361457700182,60.731169788453506,81.7391294769681,0.6154205382294412,-31.535293702290627,-79.63970898790097,-50.847895664024776,-652.241425717391,-400.7861198381273,-657.6828839129184
-28,3134.106817084668,1630.1171790743113,669.364290004325,65.58368106120314,-52.73964795880636,48.186023391507476,-62075.1910303283,-17.591620856778334,96.22823116944849,14.202707469891436,-39607.72902627983,0.7752181415965681,-0.9526570838691221,114.35479588653372,-75218.83752094454,96.97722690736909,98.8486443905265,114.36139147866861,60.20621812871252,81.73907298998363,0.6153566493085489,-38.80478293283901,-79.64007515461567,-50.86326452227452,-640.1007020918572,-400.69066470754524,-657.7292961232885
-27,3577.4224480064922,1914.4149420417637,623.9328343871323,66.13595257118413,-52.106122835818375,46.99185915159336,-60976.35026430703,-17.59100327570437,96.22836615957519,14.202602535971264,-39596.4759654942,0.7748310447265226,-0.9528075835010232,114.35482074718162,-75224.72366214264,96.4222333593373,98.84865081922916,114.36141496833226,60.83311774710317,81.73913499169761,0.6152926270208303,-38.23329529277622,-79.64044519850277,-50.8817041927399,-632.3889018113292,-400.57679732935156,-657.7806306696456
-26,3138.44236214528,2085.1330827810098,445.0143597458246,73.48402614829298,-43.42680605568599,43.92097883740687,-60337.082828800194,-17.590072189520065,96.22828788862196,14.202156597016073,-39573.62368620252,0.7747057201322113,-0.9531928795400396,114.35475253134629,-75221.19393121287,95.99396837925346,98.84834486026665,114.36134911815208,62.77158633371451,81.73937043472644,0.6154031624668148,-30.58178520387557,-79.64097341126143,-50.89757899207171,-628.5507709236495,-400.346851959376,-657.7501447057809
-25,2244.861671691357,2381.3245924585945,487.8683361455045,85.507866987348,-29.092794966714585,31.60795163386995,-59739.08766765458,-17.5885273503023,96.2279733368289,14.202101198073755,-39532.73209547337,0.776310244525273,-0.9548205292074244,114.35434386480225,-75155.29322260602,95.69246909862004,98.84775579296736,114.36096493379279,70.7125522239854,81.7393533107925,0.6165451370447282,-18.7901171747804,-79.64183036730655,-50.88740242045761,-624.2820174917617,-399.9355552216389,-657.1761025811195
-24,1608.758168785848,2566.7479701602583,519.9096585670716,93.40467573500739,-19.349785302454688,1.8451383484979107,-58461.42719926533,-17.588631733734093,96.2280521869108,14.201265279671954,-39536.794063432855,0.7745278515450461,-0.9537310608395273,114.35481153096022,-75215.51745717069,95.40572402082627,98.84773102856414,114.3614113965487,88.8918355523836,81.73984083536322,0.6155559180305157,-11.703886026113834,-79.6417785287949,-50.919845302281146,-612.7664539970756,-399.97674860142075,-657.7001502400188
-23,2923.4542860504735,2437.18325320894,600.9955736654182,82.07523264842682,-32.13439260906401,-35.948062897287436,-55926.454974286506,-17.589729906065017,96.22880890515701,14.201837904548938,-39574.59624690928,0.7736140413737393,-0.953153729713481,114.35555871043466,-75246.15113573566,95.19047341364676,98.84874537059449,114.36214753445803,112.1877913806974,81.73959079914434,0.6150388059808833,-21.381516826222644,-79.64122549461807,-50.935966508910646,-587.5215551377722,-400.3550687319287,-657.9637822301607
-22,6060.335047793547,4995.01957697484,1377.4187790013846,49.94469347857635,-69.92190727853284,-40.432809100181494,-53497.606151274915,-17.589529035991813,96.22905455772921,14.201733501043448,-39574.78907104677,0.7747612182399488,-0.954109534388057,114.3553076249948,-75204.59142218,94.96503343793657,98.8489337687417,114.36191219963092,115.19910945616694,81.73966780259383,0.6157741343025125,-54.46206502334504,-79.64136709917527,-50.92252292989228,-563.3400443778892,-400.35625638241555,-657.6017309932905
-21,9043.355014420727,11667.525933044339,2048.5943596859406,36.947847812395786,-86.02092029436193,12.928733611670994,-54359.4037953323,-17.58935792753376,96.22878947157395,14.20126967633113,-39565.22509975121,0.7749149676712423,-0.9542858143147074,114.35555061236848,-75197.5758372849,94.50869980620027,98.84857862350515,114.3621576854883,82.13731652009608,81.73990958323617,0.6158899358032783,-66.75542968617455,-79.64143776763416,-50.922139194665846,-575.1788344015081,-400.26094103434093,-657.5389740729498
