rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3
0.0,336.83262449583333,54.47006958799646,1027.8263020674538,-101.86958686720035,-6.716807387712278,9.02329081649139,-156466.05874113747,-74.07973457889221,2.727759260472426,10.339055747824666,68437.6185191478,0.3163768226894429,-37.621559593997915,69.77917795709507,-98687.95136233336
2.0,336.83286193446037,54.47014192370993,1027.8385325189272,-101.57311473599535,-10.26799129242884,9.023290815588583,-156466.1801348117,-74.12979885579718,0.14058676842599835,10.339055744452182,68437.36297775731,1.6291530551157456,-37.58746907322155,69.77917796026762,-98687.7454957301
4.0,336.8327505374061,54.470090962890076,1027.8403508218582,-101.15289753854192,-13.806499265085446,9.023290815873677,-156466.04469255038,-74.08955148446968,-2.4465330296642738,10.33905574587582,68437.45666631126,2.9399289454454767,-37.507494868126116,69.77917796566946,-98687.40275734219
6.0,336.8328461338479,54.47012475851739,1027.8417050638716,-100.60946177686361,-17.3280482058088,9.02329082405125,-156465.69077993403,-73.95905022486224,-5.03058930534646,10.339055749550766,68437.67532226858,4.2471502080588435,-37.382229775563246,69.77917796123562,-98687.69393672442
8.0,336.83296401089,54.470145946790815,1027.844528718445,-99.94339749021289,-20.82896501928548,9.023290818927814,-156466.08831117008,-73.7384017836622,-7.6088686957333875,10.339055743914937,68437.34725811853,5.5491834557835,-37.211230514326644,69.77917796152936,-98687.6876576454
10.0,336.83330291689555,54.470275443220885,1027.861671613792,-99.15561774143642,-24.304117775178653,9.02329082374516,-156465.8786500325,-73.42792712873646,-10.177720706150884,10.339055742147126,68437.26150039455,6.844427781427302,-36.994737253527134,69.77917796539727,-98687.43319872778
12.0,336.8336177258377,54.47036886563552,1027.8734752622713,-98.24704540720252,-27.74964265718936,9.023290826368603,-156465.6393198719,-73.02799847651119,-12.73412317798621,10.339055741674926,68437.25390662505,8.131377226259545,-36.73343357500597,69.77917796293475,-98687.5911712869
14.0,336.8331707370438,54.4702066638544,1027.85054118869,-97.21872552691474,-31.161598482987525,9.023290821732042,-156465.7796105767,-72.53913234012815,-15.274865763281653,10.33905574472973,68437.4784306614,9.408429650419171,-36.427385854264685,69.77917795961908,-98687.76734406664
16.0,336.8328773087722,54.47014505883099,1027.8350765097048,-96.0719566650929,-34.53557607816609,9.023290822139298,-156465.90190541945,-71.96187983450812,-17.79706495456674,10.339055746649354,68437.59949837496,10.674050625560271,-36.07703728503388,69.77917795449899,-98688.07639142575
18.0,336.83312136740557,54.47021250775162,1027.8505524436787,-94.80814218320403,-37.86744955508506,9.02329082105668,-156465.98128847498,-71.29688155686526,-20.297818228835144,10.339055743769002,68437.33637310831,11.926539881124654,-35.68229848138371,69.77917796140315,-98687.68061999863
20.0,336.83301793527124,54.47017116325584,1027.844633660426,-93.42882181542922,-41.15316806206845,9.023290818817527,-156466.03063347025,-70.54507575114468,-22.773651240996642,10.339055743361817,68437.38164030027,13.164591945157921,-35.244395102505855,69.77917795919042,-98687.78550874622
21.999999999999996,336.83297069624894,54.470179409587935,1027.8442019928152,-91.93570390129342,-44.388664920630326,9.023290818286796,-156465.9427107871,-69.70732918598642,-25.22172481128902,10.33905574451127,68437.45008126416,14.386592004686529,-34.763507144790154,69.77917795893717,-98687.81822308074
24.0,336.83288853706546,54.470116972076774,1027.845207921857,-90.33056631508758,-47.57011361953277,9.023290820504888,-156465.90748084127,-68.78464795813049,-27.63909294014854,10.339055745092946,68437.48098244511,15.590959957404475,-34.24002741809288,69.7791779653597,-98687.44836863247
26.000000000000004,336.83304672883474,54.47018771272044,1027.8458646191064,-88.61536046312226,-50.693638565945186,9.023290820959327,-156465.92864304408,-67.77814357006832,-30.02283057225819,10.339055744842797,68437.43817169465,16.776518234190604,-33.67524978536257,69.77917795963211,-98687.78941596553
28.0,336.83324327648774,54.4702370876572,1027.8520443844302,-86.79219065504944,-53.755398729926775,9.023290821233278,-156465.94565812065,-66.68904207269114,-32.370023264405695,10.339055742404573,68437.33473235214,17.94154713665062,-33.06924262429311,69.77917796008079,-98687.786657902
29.999999999999996,336.8329677052608,54.47012877973266,1027.8451836423226,-84.86328933871089,-56.751644903697205,9.02329082137198,-156465.92548439046,-65.51876257921857,-34.67764351929247,10.339055745327997,68437.46868459984,19.08460600009569,-32.42275355499438,69.77917796512648,-98687.44054313007
32.0,336.83324497731445,54.470218249564304,1027.8529048888377,-82.83099172853922,-59.67875516906606,9.023290821010884,-156465.91777074386,-64.26857393448327,-36.94316121553764,10.33905574437695,68437.33970193886,20.204653572907443,-31.73717637656343,69.77917795886773,-98687.8375204284
34.0,336.832933881984,54.470126182516196,1027.8461487338723,-80.69774603111213,-62.53320306883352,9.023290818422018,-156465.99747711606,-62.94014886640827,-39.163562715604215,10.33905574456144,68437.40446951578,21.299798555533012,-31.012475915404703,69.77917796618853,-98687.39823942407
36.0,336.83307040501944,54.470174638488764,1027.8477707034137,-78.46624986902559,-65.31136514319574,9.023290820081595,-156465.891902748,-61.535033854906196,-41.336264128320686,10.339055744166625,68437.44410287548,22.36923662001475,-30.250360427320746,69.77917796168329,-98687.64506373374
38.0,336.832976185691,54.470176554172006,1027.8444294476838,-76.13911059856258,-68.01001950720048,9.023290824243805,-156465.9070798861,-60.05494750439981,-43.458607058446724,10.339055744657504,68437.47932952658,23.41135332603443,-29.451284615587323,69.7791779606599,-98687.69819263705
40.0,336.83302101437795,54.47019673866305,1027.8486793192665,-73.7192048059778,-70.6258163514462,9.02329082139508,-156465.9274258927,-58.50165178518954,-45.528054482792754,10.33905574424255,68437.4107204661,24.424860063693504,-28.61621973899276,69.77917796342135,-98687.5364002762
42.0,336.8329358439216,54.47018735490757,1027.8492472667153,-71.20953263209407,-73.15551060267518,9.023290820075376,-156465.83193591717,-56.87713521224494,-47.541967972545045,10.33905574509178,68437.4741251601,25.40865435845114,-27.74635174713337,69.7791779641806,-98687.49355626132
43.99999999999999,336.8330510998568,54.47018463474673,1027.8488515092008,-68.61303416392265,-75.59615316704775,9.0232908188174,-156465.89703312446,-55.18327243826218,-49.49801494129783,10.339055744480515,68437.4204671766,26.361611073959626,-26.842805036612052,69.77917796078056,-98687.72070303497
46.0,336.8331255499047,54.47019734100791,1027.8514421641567,-65.93299349017575,-77.94463899411069,9.02329082246165,-156465.84488089176,-53.42220128320549,-51.393729737378884,10.339055744553256,68437.42216518271,27.2823380132417,-25.906432003618583,69.77917796100688,-98687.68898199026
48.0,336.83322487377194,54.470208250007104,1027.8524859798467,-63.17258099398801,-80.19820282557143,9.023290822528002,-156465.88498686836,-51.59602131162197,-53.22684918954618,10.339055742177159,68437.37760681492,28.169839661282676,-24.938510526217883,69.7791779610312,-98687.6887373537
50.0,336.8331381643269,54.47019413375203,1027.8489102139135,-60.33521377629194,-82.3540456322056,9.023290823756435,-156465.89983612936,-49.7070188699417,-54.9950843087881,10.339055744763398,68437.41548747239,29.023055680184353,-23.940234681721567,69.77917796002525,-98687.75931911127
52.00000000000001,336.8328789290748,54.47012522243751,1027.8450470258074,-57.424340218726705,-84.40954967261786,9.023290820396635,-156465.90799890566,-47.757471382377155,-56.69630659768168,10.33905574624013,68437.48139980929,29.840734387852873,-22.91264888772861,69.7791779646615,-98687.47708551762
54.0,336.83304530080295,54.47017094791013,1027.8459859892355,-54.44350261231503,-86.36221418655977,9.02329082191194,-156465.91827330602,-45.74969050248585,-58.32849190049575,10.339055745034083,68437.45137951382,30.622281471742784,-21.857326512094183,69.77917796196184,-98687.64075866561
56.0,336.8331082957398,54.47017101133988,1027.8494744217528,-51.3963695977826,-88.20963505843629,9.023290820228297,-156465.8617626188,-43.68618074207584,-59.88960448934952,10.339055745292463,68437.44134946325,31.366436555535206,-20.775309175801965,69.77917796204261,-98687.64020902889
58.0,336.8330040896691,54.47020148199834,1027.8520231091782,-48.286635316089004,-89.94957827966896,9.023290821753665,-156465.77612823856,-41.56946730975718,-61.3777370443633,10.339055744719298,68437.47072239709,32.072332221221814,-19.6679527119964,69.77917796276002,-98687.55859695324
59.99999999999999,336.8331829445776,54.470242491943445,1027.852149998164,-45.11796053221577,-91.58000014276588,9.023290821138177,-156465.89223884515,-39.40203715496832,-62.79113264149657,10.33905574330493,68437.37217219484,32.739322383536255,-18.536736082714498,69.77917795965871,-98687.7844892246
62.0,336.83287324673734,54.47013780738303,1027.8447353245367,-41.89435364438951,-93.09882019639284,9.023290822524293,-156465.9384833818,-37.18670678482634,-64.1279660161551,10.339055746070265,68437.46210010025,33.36614408595623,-17.382774574418523,69.77917796392441,-98687.50829457345
64.0,336.8329966083249,54.470167535547766,1027.8473604596559,-38.61972308824624,-94.50420251256791,9.023290821838408,-156465.95169816643,-34.92598738343566,-65.38671420651562,10.339055744369805,68437.40591036543,33.95255424942299,-16.207765685030722,69.77917796170522,-98687.65647229162
66.0,336.8333633268454,54.47021915801299,1027.8516834107004,-35.29810700279999,-95.79441568767916,9.023290821392543,-156465.85140387373,-32.62274544375811,-66.56578290533045,10.339055742929558,68437.40154403207,34.497666524352724,-15.013033146376378,69.77917795745479,-98687.91520420086
68.0,336.8332275357703,54.47022252778348,1027.8557145702332,-31.933453694504877,-96.96793588537929,9.023290821947766,-156465.80735998217,-30.27975560852714,-67.6637520923313,10.339055743325204,68437.39392283536,35.00038373322369,-13.799849526810599,69.77917796323628,-98687.55551998354
70.0,336.8331012978975,54.47022290452581,1027.8560246733969,-28.52990831702033,-98.02331262318313,9.02329082380456,-156465.74180105363,-27.89990825656394,-68.67927078431826,10.339055744360973,68437.4420274104,35.46061532468709,-12.569927264156474,69.77917796492028,-98687.46483548211
72.0,336.83311748779784,54.47020512884283,1027.8514973799538,-25.091493426169325,-98.95930196797751,9.023290824069097,-156465.85737277454,-25.486025742691833,-69.61113074743193,10.33905574360783,68437.41809038937,35.87776682807649,-11.32473480264859,69.77917796283504,-98687.57731520853
74.0,336.8332387102716,54.470236085906215,1027.8607289046683,-21.622619060398076,-99.77468750756165,9.02329082391695,-156465.79220196747,-23.04105851486989,-70.45818887735756,10.339055741749647,68437.3400296068,36.25102811358577,-10.065688390243551,69.7791779655855,-98687.39904668402
76.0,336.8334491477985,54.47026855796991,1027.8598179362866,-18.127290892907276,-100.46854340688846,9.023290819944824,-156465.90390082126,-20.568014374044736,-71.21940216722624,10.339055741803572,68437.25556003276,36.58042373385075,-8.794461708808628,69.77917796100415,-98687.70492203957
78.0,336.8329800493797,54.470105942914735,1027.8412432537477,-14.609925995502744,-101.03997840075205,9.023290819972898,-156465.93554070065,-18.070120150735423,-71.89379730773561,10.339055746172344,68437.5038827815,36.865064856574506,-7.512466545106266,69.77917796073214,-98687.70956584738
80.0,336.83333076227404,54.4702666928298,1027.8572634068303,-11.07495917265761,-101.48827533594611,9.023290823662572,-156465.6569596451,-15.550033880041575,-72.4806433678913,10.339055744933281,68437.47057331592,37.10480990298931,-6.22132163743761,69.7791779603221,-98687.74214930601
82.0,336.83277228714906,54.47011663034244,1027.8320152492195,-7.526037302331774,-101.81300205515397,9.02329082056764,-156466.10433305975,-13.011048112124085,-72.97917498002069,10.33905574603454,68437.50881819542,37.2993959178627,-4.922602181733506,69.77917795907291,-98687.8492567087
84.0,336.8337434745478,54.470413788231326,1027.8762675944529,-3.9685701129557627,-102.01359950604622,9.023290827844786,-156465.57401767702,-10.456025123377065,-73.38881394081606,10.339055741030002,68437.25909056686,37.44832151968748,-3.6178576634786843,69.77917796246363,-98687.61671710233
86.00000000000001,336.8335795635944,54.470316283713636,1027.8526600353011,-0.4058414928521737,-102.08996281579867,9.023290824181451,-156465.71219029478,-7.888552871968575,-73.7090083864193,10.339055745595388,68437.46114910982,37.55230173062554,-2.308763342993228,69.77917794885043,-98688.44536510514
87.99999999999999,336.8328365252706,54.470152537104056,1027.8421511235304,3.1573884795352973,-102.04193932909487,9.02329081943836,-156465.8576424132,-5.311399691345394,-73.93941129377738,10.339055746853758,68437.5542533493,37.609463607717245,-0.9967817042373522,69.77917796325671,-98687.61026354846
90.0,336.83309353789616,54.47017592912144,1027.85212889205,6.716810602222408,-101.86958686755389,9.023290818380605,-156466.0661899794,-2.727529283585595,-74.07973457757427,10.339055741829231,68437.2624086593,37.62125607081149,0.316376839075851,69.7791779645688,-98687.47854415172
92.0,336.8332095159591,54.47026466536084,1027.8596367599719,10.267755080022193,-101.57312298554682,9.023290820842993,-156465.81109851066,-0.1405705233202917,-74.12979828798703,10.339055742168496,68437.3428105404,37.58726074889225,1.6291457549505068,69.77917796571698,-98687.42250807905
94.0,336.8328853364265,54.470141972969124,1027.8469250850833,13.806435045609804,-101.15290202954037,9.02329082013059,-156465.94583027496,2.446547915597645,-74.08955044360857,10.339055745618522,68437.43098022032,37.507487765228944,2.939928445425535,69.77917796594784,-98687.39174002135
96.0,336.8331500889897,54.47022921444112,1027.85290609597,17.32802606365105,-100.6094641040648,9.02329082305631,-156465.6573440725,5.030678782323405,-73.95904081971646,10.339055745486382,68437.53633860628,37.38223537680201,4.24715079597425,69.77917796126745,-98687.70177219398
98.0,336.83265349635525,54.470061573807634,1027.8362156576325,20.828739752558814,-99.94342915033103,9.023290820245242,-156465.7344665647,7.608621845776215,-73.73843647723656,10.339055748710722,68437.73375779773,37.2111343693806,5.549169940156844,69.77917796383723,-98687.53722410345
100.0,336.8332963415345,54.47027705519423,1027.8576572945242,24.30413057638884,-99.15561548413208,9.023290819176296,-156465.89858750647,10.177701979501895,-73.42793043099121,10.339055740887623,68437.2909717145,36.994909373721285,6.844458136504064,69.77917796099716,-98687.70430125837
102.0,336.8332653021562,54.4702213211163,1027.8520629016448,27.749752239896484,-98.24702211396546,9.023290819009146,-156465.81312872996,12.734014569494665,-73.02802156246845,10.339055742721003,68437.42616932307,36.73361137248104,8.131415021150097,69.77917795768862,-98687.8730445817
104.00000000000001,336.8328881840516,54.47013826657576,1027.8424304367884,31.161695507789652,-97.21870133606518,9.023290822376135,-156465.93470017318,15.274857688325223,-72.53913435334186,10.339055745604773,68437.49142805001,36.42730683272701,9.408409945731313,69.77917796165063,-98687.64115413514
106.0,336.83322090226545,54.47028096591297,1027.8575901470208,34.535512184585585,-96.07197498630904,9.023290820959343,-156465.79881250605,17.797207735481834,-71.96183889240764,10.339055744206984,68437.36915598181,36.07675502417275,10.673969684719683,69.77917796251916,-98687.6209333498
108.0,336.83309859613416,54.47018781334808,1027.8485253536219,37.86733403547159,-94.8081797186371,9.023290821499364,-156465.79287001252,20.297716470089455,-71.29691462030826,10.339055745204869,68437.50229850084,35.68230758370976,11.92654283809561,69.7791779613111,-98687.69554326039
110.0,336.8329785809839,54.47016902524049,1027.8440013692427,41.15309083414747,-93.42884992392366,9.02329081935959,-156465.90310965656,22.77358792573493,-70.54509879612253,10.339055744541792,68437.48607407547,35.24436678539705,13.164581638710048,69.77917796039539,-98687.73875659429
112.0,336.8331126114434,54.47021423362654,1027.852306988402,44.388618696585844,-91.93572257718934,9.023290823156827,-156465.86531285665,25.22175477062611,-69.7073170816686,10.33905574431577,68437.40007976415,34.76336971677629,14.386536477406136,69.77917796277467,-98687.58831325792
114.00000000000001,336.8329662620081,54.47019348397217,1027.8474703158797,47.570151019939374,-90.33054966357973,9.023290822354074,-156465.9710043361,27.639140225269255,-68.78462690515403,10.339055745412391,68437.40068385216,34.24003756612484,15.59096447720693,69.77917796469613,-98687.46553285499
116.0,336.83303533339534,54.47019752722119,1027.8494746754336,50.693703555436116,-88.61532876581182,9.023290819701725,-156466.04056298864,30.022902796726143,-67.7781083438778,10.339055742450858,68437.31315799632,33.6751441915206,16.776466734891986,69.77917796248168,-98687.6061694412
118.00000000000001,336.83308180135276,54.47018205797968,1027.8500089692504,53.75537388263057,-86.79220386711438,9.023290821457291,-156465.90203763306,32.36997946481341,-66.68906536145599,10.33905574439034,68437.41157570765,33.06908113511516,17.94146126952977,69.77917796370677,-98687.50299779118
119.99999999999999,336.83294990753626,54.470107133921324,1027.8458575727916,56.751622134992154,-84.86330248359754,9.023290823007097,-156465.8846666207,34.677634396271074,-65.51876784661407,10.33905574651574,68437.48500197318,32.42278892280914,19.08462642020153,69.77917796407918,-98687.50390622047
122.0,336.83305983404733,54.47017186450148,1027.8476107033666,59.678739847535574,-82.83100130310895,9.023290820582451,-156465.88969986842,36.94310589866012,-64.26860850053086,10.339055745738676,68437.44087030063,31.73714416317931,20.20463344397644,69.77917795948481,-98687.77858757744
124.0,336.83322145543536,54.470241243129756,1027.8555548857146,62.533091498201266,-80.69782128595146,9.023290822574172,-156465.78868546322,39.163561892993926,-62.94014942190117,10.339055743202955,68437.40592960622,31.012598546863817,21.299881273441475,69.77917796244948,-98687.62771957219
126.0,336.8330049174548,54.47014833702716,1027.8473192091549,65.31140531761231,-78.4662206814675,9.02329081977358,-156465.96892942302,41.33628830776667,-61.535016287562016,10.339055744723536,68437.39773509104,30.250331074424132,22.36921529425007,69.77917796272705,-98687.5887511349
128.0,336.8330758083621,54.47017609679346,1027.8480650403505,68.01001753168113,-76.13911214145064,9.023290823128292,-156465.90309246222,43.45862975773287,-60.05492976957896,10.339055744559529,68437.43456710836,29.451230454837592,23.41131101028222,69.77917796293426,-98687.59150249098
130.0,336.8332475673124,54.47015369641796,1027.8472818811833,70.62581601558682,-73.71920508838151,9.023290819256424,-156465.92675408494,45.52805409105846,-58.50165211422254,10.33905574582675,68437.41168107808,28.616404349072994,24.42501497052963,69.77917795807288,-98687.91136618999
132.0,336.8331492460362,54.47021788085644,1027.8492337770824,73.15553889591102,-71.20950715664843,9.023290820062964,-156465.89119871415,47.54199835869645,-56.87710785233146,10.339055744877701,68437.41052530508,27.746534714578814,25.40881910593225,69.77917795848256,-98687.8764541577
134.00000000000003,336.8329056562672,54.47018116285689,1027.846550883855,75.59614176493257,-68.61304517427557,9.02329082032679,-156465.87252081084,49.497985910159876,-55.1833004742701,10.339055747136998,68437.48301393457,26.842710684765507,26.361519958043328,69.77917796358932,-98687.51721245717
136.0,336.83296421149873,54.4701658710941,1027.847868837334,77.94467106314887,-65.93296028020457,9.023290819670397,-156465.91646128526,51.39372559504356,-53.422205573163076,10.339055743961133,68437.43141929069,25.90635775099339,27.282261120961053,69.77917796439593,-98687.52330935917
137.99999999999997,336.83316035416897,54.47022018816441,1027.8542273678172,80.19821552826178,-63.172566886264704,9.023290822142739,-156465.9144016272,53.2268666858851,-51.59600187980738,10.339055743355559,68437.33703443994,24.938459601392438,28.16978310256749,69.77917796299622,-98687.57072178199
140.0,336.83309934005774,54.470205390130346,1027.8484431050674,82.3540516775823,-60.33520657136065,9.023290819709107,-156465.91430969237,54.995084791239854,-49.70701829524491,10.33905574586018,68437.41448637721,23.940214744331307,29.02303191833177,69.77917796082747,-98687.71122969709
