f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
233.68,"[-0.5119093610234757, -0.8588602080508093, 0.01754934319174842]",346.3658151344976,121.24877945710784,121.12723018090693,91.95094148791954,90.65906046908205,89.2758882500741,1.0223281271038718,19.81782075193396,-74.10353876548032,-7.439399779363938,-840.9886802051733,96.1991010002742,-635.6413602947349
233.68,"[-0.6418095246017238, -0.7427895489812518, 0.1906416010600462]",2068.996389569983,112.99870507806126,109.87146395967439,87.9113599482216,90.68509256702387,89.24313393647643,1.0006131706164176,22.072441719298823,-76.53021309692735,-6.311046763794915,-6286.193752947781,7953.196963187992,-809.0383143481887
233.68,"[-0.6153983150929945, -0.7647906271955214, 0.1907359702169064]",1994.151265423618,113.01647815058564,109.67097854685488,88.08056444542626,90.68609869234504,89.23902137107493,0.9815005819065159,22.24013213892937,-76.71358808354069,-5.698130009927129,-5932.741636339677,7452.858102165715,-798.4280712509704
233.68,"[-0.5882354366216634, -0.7858567365690352, 0.19080948794959582]",1923.6478572919175,113.06619173630618,109.49965374123558,88.2752619653214,90.68715928879395,89.23491248418416,0.9626556517208404,22.40922632751984,-76.89926869102639,-5.06063186247215,-5586.203670134548,6961.023288244079,-788.260210797588
233.68,"[-0.5603539829710273, -0.8059622112925072, 0.19086206468808184]",1848.0561619248406,113.1468323709432,109.3572259872287,88.49415447048248,90.6882714964298,89.23082060676322,0.944077359063906,22.579055498447943,-77.08652815326643,-4.39715238777737,-5247.003632283981,6478.279396791434,-778.5458320414388
233.68,"[-0.531787923397551, -0.8250825559419978, 0.19089363637570736]",1759.4837313063304,113.25721311458568,109.24319631795265,88.73586552031405,90.689432896343,89.22675830726294,0.9257659131857483,22.7490070765674,-77.27469047043938,-3.7062413328784465,-4915.541545756111,6005.201485279636,-769.2959622249812
233.68,"[-0.5025720612445601, -0.8431944753228147, 0.1909041645472343]",1657.336009271993,113.39597744668373,109.15684273405186,88.99893579460618,90.69064146683469,89.22273750007334,0.9077193476187253,22.918520506549907,-77.46312700313987,-2.986245110801197,-4592.195722666857,5542.353221687881,-760.5219713418974
233.68,"[-0.4727419915397299, -0.8602759028511199, 0.19089363637570736]",1565.6679314935077,113.56160097292938,109.09722943624112,89.28181923060396,90.69189552950866,89.21876929153457,0.8899369464001627,23.08708501167529,-77.6512543697412,-2.23543241994702,-4277.324989911748,5090.287472991249,-752.2351555779967
233.68,"[-0.44233405762802547, -0.8763060274386621, 0.19086206468808184]",1514.8644395832484,113.75239388660479,109.06321358616985,89.58287963678056,90.69319378840305,89.21486422960955,0.8724172883412336,23.25423699195564,-77.83853344419448,-1.4519026136554471,-3971.2705138602837,4649.547055833223,-744.4470158064682
233.68,"[-0.41138530689293523, -0.891265318847883, 0.19080948794959582]",1410.2245917039452,113.96650084288629,109.05344990671885,89.90038814110274,90.69453517235046,89.21103208622291,0.8551591558841048,23.419560102599597,-78.0244694565104,-0.6335968357321734,-3674.358175480736,4220.665681432908,-737.1691396966095
