f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
233.49999999999997,156,119.1075777066675,118.5006805449363,89.36420299789405,92.09517936070705,90.11152051047084,2.2452797748644318,19.89643800323116,-74.76658726947143,54.21766868782738,-5272.663191596526,6317.779514682154,-1082.2178851811993
233.49999999999997,157,119.14598970308982,118.5804319947747,89.3622808437957,92.09450258591833,90.11134017938996,2.245274068837623,19.86682296602803,-74.73521704264853,54.133160560120245,-5271.409460451865,6314.1196049898,-1082.2437412147822
233.49999999999997,158,119.18400816608013,118.65926448617459,89.36036534311167,92.09383871181831,90.11117028228,2.2452873636279143,19.837528278212943,-74.70424990797056,54.04952149266142,-5268.899646838002,6308.708115403294,-1082.2732740191886
233.49999999999997,159,119.22161886746167,118.7371469556412,89.35845746770184,92.09318796868237,90.11101098968815,2.2453195145322633,19.808563898882483,-74.67369617257435,53.966748620922836,-5265.13168419542,6301.544573921408,-1082.3060968300113
233.49999999999997,160,119.25880908588243,118.8140506898985,89.35655885192217,92.0925505787328,90.11086222549096,2.2453703248774683,19.779939358233623,-74.64356554589516,53.88489702670778,-5260.103940527852,6292.628994763128,-1082.341785298312
233.49999999999997,161,119.29556756221636,118.88994890336376,89.35467178964781,92.09192672338631,90.11072406607998,2.2454394822583654,19.7516636816861,-74.61386729128671,53.80399453777865,-5253.815111156089,6281.961913718126,-1082.3799534120299
233.49999999999997,162,119.3318846903392,118.96481762576342,89.35279924220511,92.09131661899019,90.11059646538523,2.245526895461199,19.7237453514187,-74.58460989709357,53.724106161080066,-5246.2643614101635,6269.544340463726,-1082.4201721379895
233.49999999999997,163,119.36775229013432,119.03863488617336,89.35094480105838,92.09072042570942,90.11047959250178,2.2456322012748697,19.696192413524265,-74.55580140791768,53.64524894659429,-5237.451224892395,6255.377803240608,-1082.4620073912045
233.49999999999997,164,119.40316403288344,119.11138096776621,89.34911271528698,92.09013828649532,90.11037318577479,2.2457551878386255,19.66901217658102,-74.52744931486112,53.56743530463634,-5227.375646991531,6239.464336150342,-1082.5051228421125
233.49999999999997,165,119.43811492966553,119.18303891427608,89.34730788234165,92.08957044205032,90.11027751966317,2.2458956472674445,19.642211614150167,-74.49956037597981,53.49071141432454,-5216.037977783054,6221.806463222455,-1082.5490682508466
233.49999999999997,166,119.47260162653664,119.253593945593,89.345535830563,92.0890169413314,90.11019239697086,2.2460531573855307,19.615797126877272,-74.47214083985828,53.415179363234,-5203.438962133133,6202.407228029518,-1082.5933967827923
233.49999999999997,167,119.50662260095649,119.32303384383137,89.34380270926931,92.08847795669726,90.11011790229543,2.246227617814323,19.58977438317886,-74.4451963106557,53.34076446654396,-5189.579816286911,6181.270159836326,-1082.6378244297255
233.49999999999997,168,119.54017766330452,119.39134866052176,89.34211529733665,92.08795357905284,90.11005385739625,2.2464186269536155,19.56414871789989,-74.41873185441857,53.26759341470277,-5174.462093475677,6158.399309874576,-1082.6818675695797
233.49999999999997,169,119.57326842485895,119.45853121659253,89.34048097100319,92.08744392966996,90.11000036422952,2.246625969655009,19.538924745506655,-74.39275180639669,53.195634078705865,-5158.087797409468,6133.799219885222,-1082.7251810156333
233.49999999999997,170,119.60589811380694,119.52457667826837,89.33890770601592,92.08694910547065,90.10995729665174,2.2468492569970198,19.51410653226436,-74.36725995208518,53.12494468772952,-5140.459361373626,6107.474928858925,-1082.7674007943724
233.49999999999997,171,119.638071497798,119.58948264215849,89.3374040755973,92.08646910252985,90.10992460164466,2.2470881959171214,19.48969759585111,-74.3422594706147,53.05557021853775,-5121.579585453864,6079.431992678017,-1082.8081353455889
