f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
233.68,"[0.775557834085989, -0.6180132990602016, 0.1287230758979082]",4185.792781774753,121.08112093106539,121.2832738559802,94.80116380303446,91.18099712295327,89.52307548719382,2.5779355250140905,19.671888906515527,-73.80992720053958,-18.02935942324971,-742.1634861790324,-114.67822849607917,-426.92967371556557
233.68,"[0.6281176612649629, -0.7191887080750083, 0.2970451241552935]",4825.812862954672,110.80408771821166,102.57425631893223,92.76834121994037,91.27847380471276,89.43936499078795,1.8696099521172906,26.15853856286055,-81.11413341328357,-10.361345425835497,-5154.307946520194,6526.238083974318,-781.8853441780927
233.68,"[0.6534465102675163, -0.6959598764988175, 0.2977373146297845]",4770.680448811817,111.2281133138995,103.84816801256059,92.53577604874498,91.2700837393449,89.44920253738023,1.9261790795518956,25.46673139673975,-80.27772086921931,-11.118562797559274,-5259.460511970198,6635.089075649244,-789.6934891933768
233.68,"[0.6779579373130149, -0.6718661533986438, 0.2982765615189902]",4729.060830952105,111.72581757448712,105.26170183070074,92.30811929604978,91.26099076448338,89.45958072043159,1.987654061172313,24.731900319525973,-79.40419646459632,-11.891342179780086,-5374.170617450512,6753.202512978277,-798.465193737243
233.68,"[0.7016220790032999, -0.6469368932647312, 0.29866220783364084]",4704.470684983187,112.3064929842299,106.82922629706022,92.0870124570942,91.25113378368881,89.470503649758,2.0545041385663,23.95244952388918,-78.49411722626002,-12.678262141882843,-5499.035298896541,6880.925051509913,-808.3062137521389
233.68,"[0.7244101042269029, -0.6212024685604947, 0.29889378372310627]",4689.040495313812,112.98028985634927,108.56638795412765,91.87406771059844,91.24044876663746,89.4819719898825,2.1272544822454873,23.126864808715467,-77.54831839529801,-13.477771081942873,-5634.706833302069,7018.645610629982,-819.3397294473493
233.68,"[0.7462942492853155, -0.5946942327183523, 0.29897100704783675]",4671.4610915029225,113.7582680063727,110.49013757268314,91.67086368751339,91.22886991769671,89.49398223131209,2.206487542311286,22.253784887894593,-76.56797480706072,-14.288115491011778,-5781.896462889548,7166.804173335421,-831.7096189376634
233.68,"[0.7672478517187777, -0.5674444819403968, 0.29889378372310627]",4673.677156744874,114.65242261959558,112.61870115130252,91.47894307611791,91.2163310831214,89.50652534999197,2.292853132474653,21.33209668784646,-75.55467328763162,-15.107407453320123,-5941.3781827040675,7325.902936128833,-845.5833882804653
233.68,"[0.7872453827903798, -0.5394864158504489, 0.29866220783364084]",4681.9364069845105,115.67565960809506,114.97145314145617,91.29981084825502,91.20276816984708,89.51958554001853,2.38706915006959,20.36106406812648,-74.51050127017264,-15.933547866691788,-6113.9932587509575,7496.5216197031805,-861.1561975313668
233.68,"[0.8062624785888943, -0.5108540970454291, 0.2982765615189902]",4694.7062491216075,116.84168919522446,117.56863826408103,91.13493429225028,91.1881220533848,89.5331387083541,2.489929220985048,19.340496307214025,-73.43815403270405,-16.764267686258425,-6300.654828319168,7679.337457330867,-878.6549761084742
