f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
35.0,"[-0.7865565366209487, -0.6168810613361856, 0.028045349209957944]",1444.8569891165535,120.00195486833277,116.64602792793892,93.10169442608641,90.39625726650549,88.83540107197489,0.7408424277493977,4.303230195335421,86.75886781362634,-57.842956978989605,-649.8398990136069,-173.77948948010288,-604.9540202784664
35.0,"[-0.8322396332167721, -0.5423677928996982, 0.1149537738759496]",1991.5728142148123,108.75436434274789,86.8513544311297,93.81564147187478,90.44585851543022,88.4093661993917,0.4204392293305245,18.02846761469269,68.10983787638399,-60.1781848586934,-1813.4984762664492,1823.1544397581201,-623.3766360564542
35.0,"[-0.8226159637215951, -0.5568481021575374, 0.11499203169759302]",2032.9594883612715,109.17879904575834,88.36262520175889,93.67478464618294,90.44343583946934,88.43966955318716,0.44866996155836275,17.03769452424475,69.709517212722,-59.835272132150294,-1764.801466779359,1714.847877561817,-623.2731472681274
35.0,"[-0.8127411315648323, -0.5711583306025158, 0.11502179987316846]",2094.9633997763062,109.67606470941901,90.0215269284389,93.54677913780688,90.44076242579838,88.47130953458243,0.47837598169501716,16.016049663650765,71.31369043902929,-59.51982062049823,-1714.2687296814718,1605.6442495112885,-623.0370106212439
35.0,"[-0.8026181447160184, -0.5852941192004226, 0.11504306933500125]",2158.8285285290835,110.23006480029841,91.77912604028849,93.43165372548744,90.43791108376388,88.50326307021119,0.5088199801295039,14.993755638446382,72.87296987302709,-59.2358794892105,-1663.725764032688,1499.545325518496,-622.7039189981767
35.0,"[-0.7922500867350112, -0.5992511620531148, 0.11505583360420726]",2265.0041929380777,110.80633953177086,93.54042691469067,93.3294216073547,90.43502750522252,88.53391786665071,0.5387038896871635,14.019285914190284,74.31665571316682,-58.98883036747837,-1616.1094151562845,1402.3177288735342,-622.3342680612222
35.0,"[-0.781640115832709, -0.613025207710134, 0.11506008879266649]",2398.537340539285,111.34350953869686,95.14513673342213,93.24007467628715,90.43236088977235,88.56090629751564,0.5659408261252363,13.165579184845027,75.54682848471325,-58.7859510439457,-1575.8349057912635,1321.9455386678587,-622.0222275013429
35.0,"[-0.77079146390903, -0.6266120604637414, 0.11505583360420726]",2569.7642114704836,111.74605970414876,96.35177159972172,93.16357804180946,90.43028972774502,88.58096496129754,0.5874418386915139,12.535624685682922,76.43207727723154,-58.637291462399425,-1549.0944181724797,1269.0669932944375,-621.9035684840029
35.0,"[-0.7597074355684433, -0.6400075816269692, 0.11504306933500125]",2790.323087975162,111.8853770720604,96.83960223410324,93.09986928832802,90.42932087495254,88.58989521373019,0.5990475906661393,12.264228199555756,76.80200218985256,-58.55714415337949,-1543.8604374152708,1257.267412331858,-622.156278930563
35.0,"[-0.7483914071133548, -0.6532076907943057, 0.11502179987316846]",3112.501719823242,111.62034332580386,96.25238583257784,93.04887073380772,90.43002612107193,88.58276936984,0.595854608465365,12.51037956963228,76.44521045074849,-58.56641893910372,-1569.2142429534808,1302.9414082628007,-622.9834713991735
35.0,"[-0.7368468255156531, -0.6662083670846265, 0.11499203169759302]",3523.0556063020795,110.84723648018719,94.30738029148797,93.01052177068654,90.43287832835217,88.55463922235161,0.5731793677999741,13.432885883149009,75.11689591751013,-58.69697246219175,-1633.5386208981204,1424.0993565354013,-624.5691688791677
35.0,"[-0.833770225277147, -0.5434165328918179, 0.09759960666483974]",1756.5684542424997,109.15150898180289,88.09801301348189,93.75905724640185,90.4435769708048,88.43374446661552,0.43340263268446544,17.24899969687703,69.38273590964445,-60.00132140694933,-1722.653361025013,1640.7456258612688,-621.8973660859061
35.0,"[-0.8241333272507267, -0.5579167465347282, 0.09763791707502947]",1775.4421839662114,109.72226187594308,89.99345962620677,93.61817593894604,90.44053460695297,88.46986569172103,0.46597637761925076,16.079331379683204,71.22773067697469,-59.63630423327844,-1660.2102925110257,1508.4842295455617,-621.514030858275
35.0,"[-0.8142449213188282, -0.5722466455746057, 0.09766772616942915]",1820.5748027276236,110.41225336574146,92.1482866300585,93.49018452711144,90.43706432101236,88.50857302300459,0.5012083104356613,14.838603962138036,73.11970504056991,-59.29694595512077,-1593.2893915299035,1371.7613158446018,-620.9391890563072
35.0,"[-0.8041080195856898, -0.5864018649853859, 0.09768902486789985]",1889.5583869942118,111.21592317641337,94.53548444816056,93.37511873046627,90.4332050371307,88.54895988657555,0.5385847508612372,13.551551181520013,75.01249159419298,-58.98703624094742,-1523.4482454234328,1234.4541758762364,-620.2010864446967
35.0,"[-0.7937257098497771, -0.6003780929501117, 0.09770180668265169]",1950.1033880074785,112.10617580716277,97.07358857266644,93.2729975657384,90.4290821712436,88.58942681256887,0.5769556149874632,12.26413233532762,76.83596649667939,-58.71167207808493,-1453.6134219863413,1102.5027142815368,-619.3582358517773
35.0,"[-0.783101154663212, -0.6141710721743543, 0.09770606772022007]",2042.31290848362,113.01864328772338,99.59214119993531,93.18381338295968,90.42496172505669,88.62742421656965,0.6141639266645403,11.05354431853958,78.48797685952715,-58.47783774223314,-1388.7267277711492,984.5639030617145,-618.5158336038695
35.0,"[-0.7722375903684263, -0.6277766011830261, 0.09770180668265169]",2176.216435446883,113.83233061607578,101.79073351136398,93.10751854973215,90.42131313610476,88.65917773786016,0.6465894228916794,10.039694832086868,79.82470541711007,-58.295361300555435,-1336.461187719315,892.7534946808016,-617.8452412988805
35.0,"[-0.7611383261123421, -0.6411905356001917, 0.09768902486789985]",2377.7048309369766,114.35551798259604,103.20965279293605,93.04401450641238,90.41885455488419,88.67946156227924,0.668771271131584,9.394634939404432,80.64993998550753,-58.178466537515085,-1307.7382186341215,843.4098365014345,-617.5984466668205
35.0,"[-0.7498067428383727, -0.6544087894114837, 0.09766772616942915]",2632.0589890083006,114.33878485268322,103.25512740556108,92.99315813488518,90.41851956677756,88.68156837309992,0.6735001881385866,9.341936579971392,80.70504133280109,-58.148472492035175,-1316.4594374093106,857.686429818637,-618.0991133681106
35.0,"[-0.7382462922565549, -0.6674273362087432, 0.09763791707502947]",3044.712405386815,113.54718779622702,101.34458688963063,92.9548086641049,90.42125004787438,88.65780847682716,0.6530114196025458,10.132133617772498,79.66541434413186,-58.238769751459905,-1377.4797002485088,961.3549319512356,-619.6829113931774
35.0,"[-0.8350468428499889, -0.5442997429438245, 0.08021570966807094]",1645.3246078658913,109.52612009853857,89.23781338305025,93.71668313946968,90.44143571361776,88.45543503386642,0.4431082123202987,16.56797533238903,70.47333831141707,-59.86964096485593,-1633.7134115737822,1466.8025592216156,-620.4338238099485
35.0,"[-0.825399651784819, -0.5588154440662637, 0.08025406099708492]",1620.2216219532384,110.25003483284036,91.52977306036925,93.57580524138385,90.43774831904616,88.497295769601,0.47978001394141584,15.221267484879201,72.5533076411925,-59.48350287533518,-1556.6724370551037,1310.404451773143,-619.7589970492465
35.0,"[-0.8155006841820228, -0.573160648674976, 0.0802839019301699]",1609.5836553001488,111.15130638222328,94.21838900402783,93.4478566761881,90.43341594087913,88.54316348942596,0.5204499160508987,13.756728218461406,74.72682784566705,-59.121212110874396,-1471.8386095443086,1145.464606290802,-618.81926886566
35.0,"[-0.8053529553630259, -0.5873309870816724, 0.08030522337748865]",1632.0155356531882,112.24385545299552,97.31713076257454,93.33288466332024,90.42841605023354,88.5923492897152,0.5649797228491507,12.189200577067535,76.95349956565468,-58.78625838526185,-1380.1621530983348,975.5078039483233,-617.6266113996155
35.0,"[-0.7949595564243294, -0.601322142864003, 0.08031801884432169]",1699.446266813399,113.5212797562524,100.78504378395175,93.23092141539138,90.42281486636672,88.64339936985368,0.6125958097816924,10.556060795246017,79.16717873222717,-58.483404728911076,-1284.1175588486492,806.3532233361294,-616.2255670693461
35.0,"[-0.7843236532959333, -0.6151298541803814, 0.08032228443304593]",1750.0735064726637,114.93318788198742,104.475307578334,93.14196984964836,90.41684756232999,88.69374545910601,0.6613659617918924,8.931336319425915,81.26588313005706,-58.219299989080554,-1188.6730183065304,646.9570576605496,-614.7184317371576
35.0,"[-0.7734484857769629, -0.6287499150681821, 0.08031801884432169]",1837.9800069582766,116.34788008303182,108.05845062492814,93.06597942648843,90.4110330264319,88.73928431851905,0.7074222857412825,7.444681065096414,83.09887213478024,-58.00346805354331,-1102.5729667330456,510.44174273935107,-613.3017712198558
