,f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
79,233.49,"[0.9975624944565409, -0.04294574473793478, -0.05499756960582346]",1313.642578,122.6298013,123.6319602,87.23977086,90.39119762,88.81735426,2.413088477,18.94301768,-73.81633035,-20.42264377,-1508.831811,1027.298965,-746.7359698
80,233.49,"[0.9984498521245722, -0.008137324094831672, -0.05506066426220641]",1521.298157,120.9137387,120.2898722,87.14320504,90.397296,88.78511356,2.337451052,20.04785106,-74.99255995,-19.87127366,-2184.850134,1986.899675,-793.0990153
81,233.49,"[0.9447814598623121, -0.31511300964966726, -0.08995434536456191]",917.3020895,128.9828653,132.4959515,90.18720453,90.37335657,88.86665329,2.34331705,17.57473551,-72.29264665,-20.0685675,4315.224741,-6997.840157,-345.954703
82,233.49,"[0.9551960638880594, -0.2819986083386714, -0.08987360250824937]",805.6918061,129.3229741,133.8010149,89.67387148,90.37191631,88.88276472,2.405466167,16.91513585,-71.65658869,-20.49387945,3829.797517,-6273.63978,-378.204562
83,233.49,"[0.9644487815966276, -0.24854091372411535, -0.08981070026429096]",713.6602402,129.3861388,134.488876,89.20791044,90.37145509,88.89290793,2.45158376,16.47208177,-71.24062293,-20.79151564,3281.349007,-5490.428663,-415.7401944
84,233.49,"[0.9725283399767605, -0.2147806888531241, -0.08976571526938158]",670.5469271,129.1134042,134.4577927,88.78883194,90.37210663,88.89652463,2.478821495,16.26996498,-71.06209244,-20.95659285,2676.007623,-4653.369191,-458.0873615
85,233.49,"[0.979424895331133, -0.180759065359339, -0.08973870233080812]",799.7906371,128.4652707,133.6389017,88.41615837,90.37396419,88.89314702,2.484988078,16.32831441,-71.13695838,-20.98352553,2021.951473,-3768.26304,-504.4514293
86,233.49,"[0.9851300452693782, -0.1465174933503579, -0.08972969435967522]",978.9825666,127.4285297,132.0070859,88.08946476,90.37706782,88.88242048,2.468834533,16.66035229,-71.47942651,-20.86599287,1329.350311,-2841.676701,-553.740911
87,233.49,"[0.9896368389451075, -0.11209769090716387, -0.08973870233080812]",1134.981274,126.0201437,129.5875145,87.80840544,90.38139489,88.86413108,2.430251663,17.2716863,-72.10142137,-20.59690326,610.2320612,-1881.141274,-604.6356665
88,233.49,"[0.9929397855244452, -0.07754159325706986, -0.08976571526938158]",1298.403584,124.2869965,126.4561075,87.57271873,90.38685494,88.83823811,2.370306893,18.15927479,-73.01187243,-20.16815281,-121.762139,-895.4098843,-655.6920335
89,233.49,"[0.9950348608757646, -0.04289130168210374, -0.08981070026429096]",1473.12364,122.3012703,122.7334152,87.38221548,90.39329005,88.80491048,2.291200402,19.31079967,-74.21579313,-19.57087144,-851.7721618,105.2609461,-705.459363
90,233.49,"[0.9959195124724718, -0.008189032225081355, -0.08987360250824937]",1712.37871,120.1521854,118.5728599,87.23674677,90.40048304,88.76456354,2.196016572,20.70464895,-75.71317738,-18.79521939,-1564.300691,1108.86407,-752.6027776
91,233.49,"[0.9412564763330626, -0.31384194770059104, -0.12465744111189653]",1023.288876,131.7812692,137.0770561,90.81700877,90.36856685,88.89464066,2.335325843,16.45071794,-71.20081315,-20.0456299,5279.06895,-8199.325765,-296.26366
92,233.49,"[0.9516265344115387, -0.28086918522397386, -0.12457704361360346]",939.5938063,131.8445622,137.893021,90.24502685,90.36778986,88.90673711,2.38376189,15.93256471,-70.71688675,-20.37748917,4758.415496,-7441.764538,-330.4921121
93,233.49,"[0.9608396758602562, -0.2475545977977887, -0.1245144104187645]",871.8610059,131.5318637,137.9124509,89.72204716,90.36821003,88.91187911,2.412655541,15.67202946,-70.48460718,-20.56341284,4167.59526,-6620.586437,-370.5576813
94,233.49,"[0.9688846758855361, -0.2139387741150956, -0.12446961783627966]",862.9057412,130.7943564,137.0517192,89.24742364,90.36993982,88.90954894,2.419568449,15.69130963,-70.52109381,-20.59708668,3514.299003,-5741.393451,-415.7746691
95,233.49,"[0.9757517328940847, -0.18006266987893127, -0.12444272043901093]",1021.473969,129.6144119,135.2788575,88.82056841,90.3730316,88.89935336,2.403129524,16.00550722,-70.84154176,-20.47145142,2808.548635,-4810.475569,-465.0838098
96,233.49,"[0.9814324804347258, -0.1459675579040935, -0.12443375099729366]",1147.059678,128.0106107,132.6218339,88.44097993,90.37746626,88.88105307,2.363217899,16.62112606,-71.45867564,-20.17830783,2062.596483,-3835.020061,-517.1245297
97,233.49,"[0.9859199973916336, -0.11169497783257439, -0.12444272043901093]",1302.178533,126.0374919,129.1690838,88.10825307,90.38314692,88.85459825,2.30107031,17.53487939,-72.38198555,-19.70848208,1290.717911,-2823.407545,-570.3383871
98,233.49,"[0.9892088164166448, -0.0772866855239047, -0.12446961783627966]",1458.540175,123.7796821,125.061651,87.82206219,90.3898992,88.82016912,2.219170007,18.73298471,-73.61671901,-19.05177955,508.8432237,-1785.562564,-623.1112836
99,233.49,"[0.9912949305903813, -0.042784602182071585, -0.1245144104187645]",1696.909148,121.3414888,120.4782912,87.5821251,90.39748076,88.77821785,2.120964514,20.19115354,-75.16265128,-18.1968745,-266.0253992,-733.2982065,-673.9192353
100,233.49,"[0.992175798304064, -0.008230763280988512, -0.12457704361360346]",1940.711056,118.8341883,115.6164958,87.38816153,90.40560012,88.72950413,2.010523591,21.87544361,-77.01272425,-17.13163523,-1016.631638,319.4362165,-721.4473162
