f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
36.51,"[0.9890106613051116, -0.14709465383484538, 0.014868665964937194]",435.67031492980124,122.84463399999909,124.10655461069805,87.38437893924574,90.38588400838607,88.82779187258255,2.543447965951736,1.9590042384957045,89.31090963730081,-38.23255228618053,-1073.497221310084,406.3368420890646,-705.9481764129864
36.51,"[0.9674434513291559, -0.23166610790289255, 0.10190182986314125]",529.1495509250702,117.0946564122968,112.43506035954807,87.40442950880242,90.4003441409387,88.71434970559085,2.262356818795846,6.335097471059571,84.62735244099196,-36.23959379674417,-1675.9896508631687,1255.9268324998031,-740.3430687226261
36.51,"[0.9713424839500163, -0.21472228992585782, 0.10192211282546942]",482.54158845159293,117.37782963774917,113.12580879159022,87.34174775429187,90.39973384357997,88.72257957892892,2.295148445115604,6.024156547979281,84.97862416373798,-36.488079451920875,-1917.6764590418788,1610.680136838418,-759.0739595993209
36.51,"[0.974945245794903, -0.1977130073886088, 0.10193789487363207]",496.7924868036008,117.65103520640659,113.77663076204558,87.28969149328621,90.39921701844757,88.73009169221365,2.326411645811827,5.737495006050581,85.29993829005743,-36.71774598167191,-2166.240687058968,1973.3075781426558,-778.4407130024069
36.51,"[0.9782506394276571, -0.1806434414833789, 0.10194917120026446]",445.0246397863044,117.91091818838305,114.38102475136938,87.24831495183781,90.39880321553784,88.73683494190381,2.3559299673896765,5.477063669636907,85.58969252403075,-36.92828632696428,-2421.1584303686823,2343.2970712315796,-798.4002643110264
36.51,"[0.9812576579933578, -0.1635187917652995, 0.10195593837048826]",447.20572577656367,118.1540983898214,114.93246923934532,87.21766991209978,90.39850209393131,88.74275915202708,2.383491005873196,5.244795454647314,85.84629709766183,-37.119431951313274,-2681.8435693028277,2720.102393363501,-818.9009420668048
36.51,"[0.9839653855250206, -0.1463442745685648, 0.10195819432295784]",465.5180707293142,118.37722423122183,115.42451373472566,87.1978050142435,90.39832281091327,88.74781528292057,2.408870750001853,5.04258853511633,86.06817944866907,-37.29082025257118,-2947.647601656796,3103.1425431697817,-839.8828316211407
36.51,"[0.9863729972226087, -0.12912512141748633, 0.10195593837048826]",501.8018445748547,118.57703213159458,115.85087906578647,87.18876772850047,90.39827433419138,88.75195583303167,2.431860081451022,4.872288609967858,86.25378931315647,-37.44216366680511,-3217.860026734331,3491.800884384794,-861.2771895849578
36.51,"[0.9884797597042763, -0.11186657743291956, 0.10194917120026446]",556.2579513755109,118.7504103052352,116.20556469267643,87.19060356452647,90.39836473052644,88.75513518233345,2.4522479026474326,4.7356703579958666,86.40160405316253,-37.573106766021624,-3491.7092522738158,3885.423927892851,-883.0069417633026
36.51,"[0.9902850312297624, -0.09457389973454944, 0.10193789487363207]",603.3365269310382,118.89446528199511,116.48296199545939,87.20335723860876,90.3986016517772,88.75730987509569,2.469834772847123,4.634418586324737,86.51013472359999,-37.68329811230184,-3768.3640945930188,4283.320020034994,-904.9870908751518
36.51,"[0.9917882618958725, -0.07725235583952086, 0.10192211282546942]",675.5366745713998,119.00659000796169,116.67796959733307,87.22707292356063,90.39899162275077,88.75843899921446,2.4844323790561638,4.570108505599594,86.57793241814821,-37.77236382644185,-4046.9359491231808,4684.757663672739,-927.1249423565329
36.51,"[0.9690309336733758, -0.23202287238680844, 0.08452476721931906]",453.69007102523744,118.0236696783706,114.25933775725034,87.47278489993236,90.39759219614744,88.7329719924901,2.2981653344346316,5.641775797428894,85.40393405060448,-36.530370837937355,-1301.4699199973657,706.3272649644488,-713.9465654088315
36.51,"[0.9729353258376903, -0.21505576372781487, 0.08454507806225983]",410.6410775211647,118.29878424100744,114.94479698593369,87.39790480142754,90.39698928928577,88.74105032732284,2.3308836239634902,5.3342574743759466,85.74555236166682,-36.769996739016555,-1546.6946166494358,1065.2146885708603,-732.8096773981055
36.51,"[0.9765430399772969, -0.1980231005221438, 0.08456088180415555]",412.3067450946817,118.55971184716816,115.5819395665056,87.33369702640012,90.39649225782485,88.74834013059812,2.361841858604744,5.053614692269881,86.05488853624631,-36.98990080659005,-1799.1730416804244,1432.3019893255719,-752.3372151062417
36.51,"[0.97985297714752, -0.18093007108400688, 0.08457217363103338]",414.7688869536032,118.80272817289338,116.16364931077727,87.28020482697181,90.3961114884151,88.75478815728233,2.390806298699739,4.801913114871705,86.33028220785502,-37.18975847075892,-2058.3476453009316,1807.0570998005412,-772.4824364114194
36.51,"[0.9828641291094335, -0.16378188211575478, 0.08457895010329344]",382.54548249826706,119.02412424217535,116.68286382375999,87.2374688739483,90.39585721540763,88.76034245600856,2.4175471011885543,4.581185301685069,86.57009120518224,-37.369268353751025,-2323.594280327301,2188.9126984908085,-793.1893678801894
36.51,"[0.9855755786369803, -0.14658375712186553, 0.08458120915675665]",422.99092367045813,119.22027253876824,117.13268313730197,87.2055274448574,90.39573908058996,88.76495259600479,2.4418346103671063,4.393411642898192,86.77269565029697,-37.52810014328101,-2594.222624718733,2577.2656923062195,-814.3928539562472
36.51,"[0.9879864997963679, -0.12934093481781417, 0.08457895010329344]",473.3492090208671,119.38769715787505,117.50649031874578,87.18441673253236,90.39576633117565,88.76857002567742,2.4634405865587756,4.240501396171596,86.93650392997252,-37.66588358903408,-2869.4764883617404,2971.475875909009,-836.0186765371886
36.51,"[0.9900961581976557, -0.11205866753430954, 0.08457217363103338]",538.6024554818317,119.52315170826549,117.79807836894072,87.17417208341229,90.39594725292656,88.77114846448939,2.4821515764403905,4.124269953605642,87.05995884411983,-37.78227217062479,-3148.535035694278,3370.864636710827,-857.9836989529266
36.51,"[0.9919039112184581, -0.09474221961738324, 0.08456088180415555]",615.5839280567492,119.62369412401833,118.00178043471661,87.17482771151191,90.39628938032097,88.77264423104839,2.4977602041950746,4.046419706502787,87.14154423426776,-37.87685802466886,-3430.514730915062,3774.713226010178,-880.1963332697425
36.51,"[0.993409208199693, -0.07739686582481903, 0.08454507806225983]",696.8823108653635,119.68676591910052,118.11259594218605,87.18641819869816,90.39679904200742,88.77301668759384,2.510083092119147,4.008516316072356,87.17979053986873,-37.94926654097927,-3714.471683733538,4182.260874548983,-902.5573274684683
36.51,"[0.9703232398079856, -0.2323089604561393, 0.06712195751259185]",386.57156085517215,119.01014350651789,116.16261416912094,87.5563943275822,90.39478970139541,88.75160135548288,2.3331275957083353,4.943840189390852,86.17205878498285,-36.80585162142707,-913.6119622179888,147.00473300012385,-686.7210742299224
36.51,"[0.9742318022000778, -0.21532372946084843, 0.06714229004926568]",340.47214834584065,119.27380105178175,116.83562842422843,87.46921775232177,90.3942053274602,88.75945444097344,2.3655344943150416,4.642281578680141,86.50145562090512,-37.03551895588185,-1162.6462597580448,510.3083383973402,-705.7227320073486
36.51,"[0.9778433696897285, -0.19827287390096693, 0.0671581106709216]",345.81017642931363,119.51838855853705,117.45075876907225,87.39276739949699,90.39374080363623,88.76644299818199,2.395920518531494,4.370437186405615,86.79610117912453,-37.244491343519435,-1419.3353432708757,882.1488012501045,-725.4194400231739
36.51,"[0.981156842158495, -0.18116158763227375, 0.06716941455844502]",334.413478902745,119.73980955534738,118.00028109481117,87.32707565208817,90.39340725958468,88.77251189730252,2.424039672326383,4.1304814699375605,87.05428087191507,-37.43245598927342,-1683.084414082117,1261.9729478473425,-745.7602445691473
36.51,"[0.984171210290564, -0.16399508291832698, 0.06717619826856226]",349.2206065968102,119.93404141674836,118.47662573622924,87.27217199671581,90.39321526141595,88.77760776837796,2.449644738420549,3.9245360059524437,87.27430462574114,-37.59906865553054,-1953.2276887571463,1649.1913362386445,-766.6843083973836
36.51,"[0.9868855558802024, -0.14677858884275818, 0.06717845973488952]",408.18953453611977,120.09721177603514,118.87250529785813,87.22808366238733,90.39317508359315,88.7816789987627,2.4724916602553275,3.7546506821151726,87.45451024019036,-37.74395821533246,-2229.0289215850685,2043.1774733444606,-788.1210479301664
36.51,"[0.9892990521114489, -0.12951734971644274, 0.06717619826856226]",485.18925961992943,120.22568536023365,119.18105912221618,87.19483670642916,90.39329585023867,88.78467638880309,2.4923505481616575,3.6227798081934557,87.59327077656216,-37.86676997500886,-2509.682067512955,2443.266352266207,-809.9899552960894
36.51,"[0.9914109638099714, -0.11221662348003192, 0.06716941455844502]",561.9143094947508,120.31615047455884,119.39599821400921,87.17245585421361,90.39358612222524,88.78655339331203,2.508998030367858,3.5307599825444673,87.68900066378073,-37.967089898135804,-2794.312843060669,2848.752800420618,-832.2013098731325
