f,att_rot,res_med,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
233.68,"[-0.5119093610234757, -0.8588602080508093, 0.01754934319174842]",346.3658151344976,114.06031851746779,41.10432050710511,-1.3946666918484942,-101968.85101212126,-33.174076807315664,116.48580697865896,1.5307814381351939,11652.330650056527,1.6267829249345398,-0.21241985098205093,91.93630455721424,-58447.821527762746
233.68,"[-0.6418095246017238, -0.7427895489812518, 0.1906416010600462]",2068.996389569983,104.70948559695584,42.45945695882925,-1.3511069909117088,-710331.7539528974,-25.59041101268389,106.83989457943274,1.4513383821957062,873829.3935051012,1.5259017718507624,-0.16875891361751744,87.89795419779415,-71123.65846456608
233.68,"[-0.6153983150929945, -0.7647906271955214, 0.1907359702169064]",1994.151265423618,104.60119679869746,42.772450599184104,-1.3533039504558948,-670497.5655164528,-25.20224445431314,106.72604573841805,1.4565613378242657,817362.2410353697,1.501327801007402,-0.1498029487990817,88.06764108874123,-70325.99518485849
233.68,"[-0.5882354366216634, -0.7858567365690352, 0.19080948794959582]",1923.6478572919175,104.5204422061266,43.099909052742525,-1.3559920472563798,-631610.77524549,-24.817388171495242,106.64020614513976,1.4621378587227631,762229.6397474037,1.477306767271809,-0.13082303111707738,88.26280261296954,-69583.87660499655
233.68,"[-0.5603539829710273, -0.8059622112925072, 0.19086206468808184]",1848.0561619248406,104.46666163170556,43.44047628388989,-1.3591553751712746,-593681.8404317657,-24.436874495912665,106.58183186441669,1.468045271111112,708446.6640033285,1.4537833113626344,-0.11178984850133235,88.48214165897541,-68896.75512302539
233.68,"[-0.531787923397551, -0.8250825559419978, 0.19089363637570736]",1759.4837313063304,104.43910964526239,43.79282519016303,-1.3627768897964425,-556720.5364212998,-24.061584248458946,106.55018847959057,1.474259197285544,656027.404785264,1.4307033831404252,-0.09267593950948078,88.724282632428,-68264.14304931652
233.68,"[-0.5025720612445601, -0.8431944753228147, 0.1909041645472343]",1657.336009271993,104.43686315391409,44.155645942896214,-1.366838331706258,-520736.52259828843,-23.69226306929282,106.54435862963564,1.4807533628326333,604985.7789963498,1.4080091070062732,-0.07345168829643932,88.98776706815666,-67685.64609784484
233.68,"[-0.4727419915397299, -0.8602759028511199, 0.19089363637570736]",1565.6679314935077,104.45882528071462,44.52763768354528,-1.3713201051875314,-485739.8737358972,-23.329533971472515,106.56324722649538,1.487499876494629,555336.2603373503,1.3856436092006221,-0.05408924235671949,89.27104968167667,-67160.92317921994
233.68,"[-0.44233405762802547, -0.8763060274386621, 0.19086206468808184]",1514.8644395832484,104.50373001062617,44.907500471958635,-1.3762013517167324,-451741.5277228944,-22.973906680175496,106.60558490451288,1.494468721581953,507094.54362928594,1.363547947030324,-0.03456035872662063,89.57249503388675,-66689.70741295132
233.68,"[-0.41138530689293523, -0.891265318847883, 0.19080948794959582]",1410.2245917039452,104.57014217118206,45.29393171314629,-1.3814596031782702,-418753.7441029914,-22.625783835666162,106.66992994916966,1.5016281224678198,460278.153463151,1.341662264448371,-0.014837176931498944,89.89037495831944,-66271.79178436798
233.68,"[-0.3799334456199404, -0.9051355514865027, 0.1907359702169064]",1397.5034438944822,104.65645896742802,45.68562274217809,-1.3870706550426477,-386790.4873870877,-22.285463103714417,106.7546681587589,1.5089442943459117,414907.02487888956,1.3199260267620372,0.005107208248448791,90.22286694651912,-65907.01711326299
233.68,"[-0.6456864808710638, -0.7474421999766077, 0.15626620272621475]",1904.8781266009032,106.3509002032863,41.519091664962986,-1.3506184432122532,-639760.3526168363,-27.637697380555522,108.54230201297273,1.4546634748570177,773850.032142481,1.57210737856511,-0.2026688277550642,88.09184971879152,-69480.40631215165
233.68,"[-0.6191288330932705, -0.7695652642669097, 0.15636109511757423]",1850.0424427901203,106.27818318805966,41.86916960683578,-1.353625243381939,-598654.7256036085,-27.235241559965644,108.46454988031051,1.4606983489549858,715576.741892401,1.5463643085150693,-0.18226834743032722,88.30799616294438,-68680.22767253772
233.68,"[-0.5918153486868032, -0.7907481757350626, 0.15643502047300117]",1776.9043307619381,106.23329597909466,42.23403916448614,-1.3571298385552508,-558498.4535111807,-26.83593800904552,108.41509090602418,1.46709609316935,658640.3195871011,1.5211937002052864,-0.16185160152150155,88.55000976261714,-67938.436835004
233.68,"[-0.5637793049250917, -0.81096512626642, 0.15648788872583733]",1668.0968387350558,106.21580406794881,42.612289256322434,-1.3611175724959919,-519302.57047413406,-26.44095998452194,108.3935123295187,1.4738340369831888,603056.6922715004,1.4965382267379221,-0.14138657168313926,88.8166206967264,-67254.51664844355
233.68,"[-0.5350548594088382, -0.8301914846209419, 0.15651963546426037]",1565.543574132684,106.22506257724186,43.002540930410746,-1.36557236321811,-481077.3939043101,-26.05130881290057,108.3991846438109,1.4808875805953088,548840.7559991116,1.472338063325616,-0.12084020621554264,89.10646947905862,-66628.04487241407
233.68,"[-0.5056770084502425, -0.8484038264425667, 0.1565302220097597]",1458.030936066968,106.26022409690515,43.40343437146914,-1.370476989245683,-443833.1640423968,-25.667833210773008,108.43127046734621,1.4882301366764834,496007.27023012884,1.4485332422573594,-0.10018029040670039,89.4181017162594,-66058.67278284201
233.68,"[-0.4756815444353868, -0.8655799627981811, 0.15651963546426037]",1175.0914289149441,106.32024415635952,43.81361820446823,-1.375812689898151,-407580.6233405132,-25.291243312840987,108.48873003342027,1.4958330262119794,444571.68612707144,1.425061911929043,-0.07937433369569147,89.74996328964689,-65546.13731913769
233.68,"[-0.4451050122167259, -0.8816989672114165, 0.15648788872583733]",1159.8137528183665,106.40388586836926,44.23174031710759,-1.381559171108643,-372331.5230755685,-24.922123322767924,108.57032585091171,1.503665443699263,394550.8621688266,1.4018609784255813,-0.058390088668396345,90.10039619284099,-65090.25456291017
233.68,"[-0.4139846645888148, -0.8967412011583379, 0.15643502047300117]",1136.7158061660562,106.50971969409096,44.656443185761006,-1.3876943892062286,-338099.14869389276,-24.560936629741953,108.67462370279475,1.5116943668320513,345963.8004529048,1.3788670829347454,-0.03719645599267288,90.46763504291275,-64690.890419180774
233.68,"[-0.3823584169015158, -0.9106883379939594, 0.15636109511757423]",1122.086436290216,106.63612546484407,45.086359147634006,-1.3941944044646801,-304898.7426805224,-24.208031214711774,108.79999339401216,1.5198844609438547,298832.25511203124,1.3560129005893125,-0.01576087723623102,90.84980479151811,-64348.01663635701
233.68,"[-0.64877676762384, -0.7511842077859365, 0.1217004180953246]",1711.7077506900143,108.03830679427824,40.640616810089654,-1.3510106211617774,-565506.5331700969,-29.651493545657505,110.29065604707118,1.4590865481980564,668665.2461909878,1.6202022688826558,-0.2373737444648323,88.35626750161694,-67710.99312194712
233.68,"[-0.6221050379799078, -0.7734023046062302, 0.12179571810942158]",1597.9250518118681,108.00642408709086,41.02556388674575,-1.35483785496614,-523119.87643488625,-29.24053649234231,110.25447790354339,1.4659570085893605,608571.4533975053,1.5933083532329009,-0.21553479827071342,88.620083192276,-66911.21167614571
233.68,"[-0.5946742249117338, -0.7946762100543755, 0.12186996102092776]",1538.2601214558993,108.00243434572367,41.42600300733232,-1.3591722437638178,-481678.4422592544,-28.832034269369615,110.24662950143608,1.4732024971465507,549808.2242430662,1.56699835679775,-0.193679354400257,88.91030713878492,-66172.65312576485
233.68,"[-0.5665177486396492, -0.8149800051535784, 0.12192305637629174]",1452.7538549046053,108.02606236798835,41.84044673211454,-1.3640003723595011,-441194.29452653957,-28.42734495916876,110.26686406768181,1.4808002767912958,492392.98446213664,1.5412114043325114,-0.17177132295152833,89.22569925915818,-65494.87588555227
233.68,"[-0.5376699134928187, -0.8342889528570703, 0.1219549394870017]",1256.2068471999175,108.07679325812849,42.26744564592987,-1.3693075831444776,-401678.7141357191,-28.027629764958476,110.31468817845219,1.4887256174076842,436342.0244046889,1.5158847197729206,-0.1497741657514409,89.5649183212335,-64877.5363896641
233.68,"[-0.5081658661147002, -0.8525795281863895, 0.12196557150839847]",1015.9867333777315,108.15388200986499,42.70557267102837,-1.3750774408652815,-363142.9025259191,-27.633874842969135,110.38937145126923,1.4969515660054507,381671.5038884758,1.490954833910584,-0.12765190529252904,89.92651568388835,-64320.37770449743
233.68,"[-0.4780415526422739, -0.8698294468929446, 0.1219549394870017]",947.9488009365192,108.25635958408975,43.15341050650428,-1.3812921738724473,-325598.63157820585,-27.24690868012758,110.48995337330287,1.5054487422760887,328398.36492626474,1.4663556666225206,-0.10536777510554945,90.3089294369362,-63823.2449030258
233.68,"[-0.44733367491121123, -0.8860176926079378, 0.12192305637629174]",901.8455391805431,108.38303642367865,43.609541770792795,-1.3879320864402016,-289058.84400097124,-26.867415284999442,110.6152476281973,1.5141854265048043,276541.17178712034,1.442020564626347,-0.08288591107155488,90.7104791484277,-63386.05753485557
233.68,"[-0.4160796457403415, -0.9011245424475739, 0.12186996102092776]",848.0957710864928,108.53250499978755,44.07254097088603,-1.3949756823523165,-253538.19562157124,-26.49594314978142,110.76384417406672,1.5231273038659212,226120.89175452106,1.4178804699360668,-0.06017017727216808,91.12936143257099,-63008.8264199765
233.68,"[-0.38431754334989554, -0.9151315910423548, 0.12179571810942158]",922.3937128451976,108.70313854873413,44.54097071881263,-1.4023992935921006,-219053.59882661232,-26.132909859392903,110.93410914932488,1.5322374321692982,177161.6392466434,1.393864531174567,-0.037184753064544745,91.56364657835265,-62691.639224775376
233.68,"[-0.6510766198216666, -0.7540110133491351, 0.08698636025149786]",1440.8600959632586,109.7503553652231,39.84073045491293,-1.3522806666946727,-487848.23067297507,-31.600500361899716,112.06267817402673,1.46461739516992,558669.9550141111,1.6698376646121655,-0.27261866455208494,88.69193942080754,-65814.58089027439
233.68,"[-0.6243233037057015, -0.7762970733708802, 0.08708195177994499]",1299.0776351873776,109.76558716945654,40.25776212839152,-1.3569391026328876,-444169.160879815,-31.1880899544214,112.074610161118,1.4723480932449544,496738.6294504145,1.6418423519872516,-0.2493695997153294,89.00476594527574,-65018.149742574606
233.68,"[-0.5968085821961517, -0.7976360538222234, 0.08715642179397899]",1185.7749109865151,109.80846571838703,40.691430227766766,-1.362117148602655,-401425.1868231056,-30.776774664581136,112.11458096640591,1.480468950638402,436123.0748204292,1.614429076137918,-0.22609178597987198,89.34470045209633,-64285.78103517953
233.68,"[-0.5685659777428588, -0.8180019564425034, 0.08720967956335898]",1117.539549347412,109.87891379029628,41.14014732523893,-1.3678026680718607,-359629.9186401358,-30.368146796617246,112.18254966717166,1.4889573921229704,376842.9579658066,1.5875357855364234,-0.20274684391532177,89.71053605618242,-63617.13549811229
233.68,"[-0.5396298996089092, -0.8373699685165036, 0.0872416602016967]",855.2703154469248,109.97658116646848,41.60237243810696,-1.3739821529388336,-318796.07751320745,-29.9635717367715,112.27819475777109,1.4977885258199608,318916.64565306535,1.5610968388280853,-0.17929468826066228,90.10095294110658,-63011.99406878019
233.68,"[-0.5100356019482479, -0.8557164931049256, 0.08725232474551056]",786.6696337316496,110.10085561896585,42.07659262285978,-1.3806403904760407,-278936.2790558393,-29.564212565196478,112.4009246372102,1.5069349881769418,262362.3390794275,1.535045473590335,-0.15569553332159133,90.51451087533223,-62470.23032694011
233.68,"[-0.47981914085392263, -0.8730191777936239, 0.0872416602016967]",700.5214748408633,110.25086944404258,42.56130838624721,-1.3877605115352827,-240063.767902551,-29.17105050538148,112.54988545204324,1.5163667683587745,207199.09436792237,1.5093125190378263,-0.13190907556373452,90.94964212028947,-61991.82564736561
233.68,"[-0.44901733042928754, -0.8892569419265797, 0.08720967956335898]",654.3576689345057,110.42550351402494,43.05502167047221,-1.3953236473935837,-202193.09390970517,-28.78489963769149,112.72396525712226,1.5260511204464389,153447.78580536973,1.4838269631575898,-0.10789513123108771,91.404644900098,-61576.85593211991
233.68,"[-0.4176676979356899, -0.9044100022894324, 0.08715642179397899]",711.3018198279422,110.62339047907902,43.5562256196861,-1.4033088917813044,-165340.71869117758,-28.406419420831078,112.92179741992211,1.5359524202866845,101131.96669425351,1.458515393718951,-0.08361332241473561,91.87767771899951,-61225.49562219218
233.68,"[-0.3858084380712828, -0.9184598972122803, 0.08708195177994499]",821.6533548390736,110.84291132117536,44.063400731283394,-1.411692891902773,-129525.66970934863,-28.036118359655852,113.14175862694105,1.5460320608405653,50278.759049096225,1.4333023238088483,-0.05902360576826878,92.36675478123252,-60938.00402391407
233.68,"[-0.6525832354489055, -0.7559191726390606, 0.05216632292692605]",1199.6799492592152,111.46027260175204,39.14033279167455,-1.354428681734887,-407235.26979287504,-33.4455198351464,113.83043780415157,1.4712714453222315,444502.64749998914,1.720532954718555,-0.3080516112284145,89.09975550619184,-63793.6874075698
233.68,"[-0.6257809276555627, -0.778246043731025, 0.052262089506170686]",1048.3593597495621,111.52998646927729,39.58605480425369,-1.3599293625039899,-362250.35297181614,-33.040050374824446,113.898146665863,1.4798876369916991,380713.7274279181,1.6915216171104919,-0.28344643501193,89.46307436974423,-63003.50604535761
233.68,"[-0.5982158201544785, -0.7996241009249043, 0.052336695892491625]",886.5169132422194,111.62670887225804,40.05007747735055,-1.365965152872849,-318184.8435516538,-32.63352159044606,113.99318973157675,1.488912569236514,318217.913180721,1.6630751631287992,-0.25878689333871635,89.85437067866167,-62280.22964631485
233.68,"[-0.5699214967830637, -0.820027298351045, 0.05239005118949937]",725.4639196209703,111.75060320276062,40.53068850799173,-1.372525377505641,-275054.4794105991,-32.227813946390825,114.11577631666565,1.4983238096127158,257037.9367449285,1.6351299076952293,-0.23403179590909473,90.27247537145668,-61623.6807586708
233.68,"[-0.5409324298159403, -0.8394307778562554, 0.05242209039198326]",582.8066787052367,111.90152256857493,41.0262329204666,-1.3795977776710138,-232873.96432329903,-31.824544838619097,114.26579641571091,1.508096319643048,197195.02506065142,1.6076193022795502,-0.20913875994551323,90.71609436341575,-61033.7923491391
233.68,"[-0.5112839379657836, -0.8578108992896346, 0.05243277446511034]",514.2569863687265,112.07902108652347,41.53509255749173,-1.3871684414330812,-191657.85846989858,-31.42509647059055,114.44283218033347,1.5182024201307758,138710.17169447916,1.580473567751058,-0.1840642840705446,91.18379966162405,-60510.62165641454
233.68,"[-0.4810121433529137, -0.8751452693044574, 0.05242209039198326]",532.5671234679307,112.28236232649336,42.05566803789408,-1.3952215080516503,-151421.3847008462,-31.030639785135083,114.64616679829304,1.5286113935070524,81605.2826273326,1.5536212096911841,-0.1587649918388465,91.67402077782118,-60054.321829807835
233.68,"[-0.4501539274960533, -0.8914127686410149, 0.05239005118949937]",576.9590207747435,112.51052302285181,42.58636492085553,-1.4037390777642271,-112181.20391799108,-30.642152419835508,114.87478951802989,1.5392895347499043,25904.25249417171,1.5269870700053048,-0.13319629201818575,92.18503669582671,-59665.17219190007
233.68,"[-0.4187468863778807, -0.9065935778571825, 0.052336695892491625]",668.9111616273564,112.76219545873714,43.12558198449991,-1.4127008660527813,-73956.12293101187,-30.260433148874288,115.1273989320374,1.5501998248146183,-28366.051444518613,1.5004935133041057,-0.10731356121357077,92.71496867056162,-59343.55463859123
233.68,"[-0.38682928464011435, -0.9206692014753544, 0.052262089506170686]",848.0578222984899,113.0357871603024,43.67170303483666,-1.4220840382893627,-36767.77334723662,-29.886102649862266,115.4023973444963,1.5613018545055806,-81174.6885600825,1.4740611188403,-0.08107283294668115,93.26177417904557,-59089.93527175936
233.68,"[-0.6532947789264913, -0.7569063608575477, 0.017282728973473827]",1108.3743928837687,113.13528191951679,38.56495105291035,-1.3574588800126905,-324328.2201829392,-35.13863604553797,115.55974801920168,1.4790709966336344,327100.4107277912,1.7716511757526474,-0.343205725877686,89.58076248584094,-61655.266670199795
233.68,"[-0.6264761339392378, -0.7792468411664968, 0.017378553926690857]",959.0982047388,113.26795048209009,39.035356908524136,-1.3638125253677027,-278022.3462138659,-34.749862437273116,115.69204952935097,1.488598292513924,261431.31487298696,1.7417525984374513,-0.3173297307221725,89.99620304356957,-60874.053157969865
233.68,"[-0.5988942242840298, -0.8006379292332585, 0.017453205788909232]",763.874485117645,113.42651467387,39.52632526115935,-1.3707201193835141,-232615.4570810658,-34.356946230109706,115.85048069198562,1.498556701922837,197025.9640010676,1.7123822880943615,-0.2913571719135926,90.44067252312415,-60162.60921908177
