f,att,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
0.0,0,-101.17427237455007,69.68252923328347,-0.8273837653757814,-131746.75209384356,-75.01878245379754,-98.82626690247594,2.5389531671865653,50515.03615121251,-1.0204220093746759,3.721723515422529,87.29829552962707,-61758.058923380166
100.0,0,-51.05516696692589,-111.73745204917839,-0.8273837604559952,-131746.75247901425,110.35174885003757,-56.718077404140814,2.53895314838239,50515.034879837694,-3.487988832643346,-1.6511902897257018,87.29829553144677,-61758.05833074713
200.0,0,118.90554576643044,-30.876519332760363,-0.8273838509575072,-131746.7508431405,36.69402224055168,118.52424868053227,2.5389531681802224,50515.035056386136,2.231787593622334,-3.148271549626892,87.29829552803167,-61758.060017295735
300.0,0,9.75970456472987,122.46075483779862,-0.827383728892142,-131746.75108004027,-123.09544908595122,15.55503782703798,2.5389531516132724,50515.03382339623,2.7128948769435137,2.744572463453468,87.2982955303008,-61758.067469879374
