f,att_rot,res_med,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
34.5,"[-0.5119093610234757, -0.8588602080508093, 0.01754934319174842]",346.36606923454497,-121.23324282833052,-1.3496322210409573,-1.3946666583941987,-101968.83360824977,-6.937274265889293,-120.91871611508405,1.530781388913458,11652.327753743473,-1.4666940666468746,0.7350867988321441,91.93630183557686,-58447.82293760646
34.5,"[-0.581818966821428, -0.8065694265945698, 0.10455835657542135]",1322.5902463898988,-116.4321042189505,-3.187280692947192,-1.3630975338824995,-421269.2094677327,-8.56674273831794,-114.7508859242253,1.480665888428419,464198.4323623347,-1.4245225553379457,0.7057060839865565,89.28525885852329,-64899.731335617005
34.5,"[-0.5676283157331097, -0.8166153552720141, 0.10458229636011662]",1290.3701625998608,-116.52869865980185,-3.384110959282796,-1.3657865519361387,-400820.794651077,-8.766945425701442,-114.70786553208514,1.4847289058057034,435195.6611539834,-1.415859386326517,0.6907029983201439,89.45856551865063,-64570.70185600475
34.5,"[-0.5532645210214555, -0.8264121347896637, 0.10460092375925839]",1188.9168367305256,-116.63278405813223,-3.581769872609271,-1.3685971583628678,-380613.7767881318,-8.968335032947442,-114.67176017437598,1.4888756624488142,406532.86620407226,-1.4073128619676132,0.6757152315479564,89.63791962033446,-64257.15653041926
34.5,"[-0.5387319580374799, -0.8359567809535738, 0.10461423309876045]",1011.3258236599034,-116.7442261861271,-3.7801097751025607,-1.3715273551944394,-360649.62766210356,-9.170755150590255,-114.64254467392489,1.493102801124636,378212.1594806818,-1.3988762232880991,0.6607346888633578,89.82314427562173,-63959.07817107991
34.5,"[-0.5240350535406477, -0.8452463863720618, 0.10462222032446902]",957.0944509615014,-116.8628774886133,-3.9789881670865768,-1.3745751818069993,-340929.82772408484,-9.374055303526738,-114.62017474561335,1.497406864894497,350235.6881929292,-1.3905438251536741,0.6457549894644182,90.0140552574844,-63676.43414340029
34.5,"[-0.509178284350441, -0.8542781213413269, 0.10462488300339783]",903.9088306601377,-116.98857610538629,-4.178268683016416,-1.3777384561755956,-321455.89998424763,-9.578089442866396,-114.60458882529298,1.501784213908751,322605.6401242766,-1.3823090904736817,0.6307685018148005,90.2104608375159,-63409.21651116703
34.5,"[-0.4941661759826758, -0.863049234707405, 0.10462222032446902]",863.9809193812616,-117.12114632175894,-4.377820140441518,-1.381015013601955,-302229.428450636,-9.78271638270337,-114.59570723376338,1.5062310878931375,295324.2918147805,-1.3741655986693941,0.6157679363435485,90.4121615595016,-63157.41489206074
34.5,"[-0.47900330127098645, -0.8715570547041972, 0.10461423309876045]",825.0798110335019,-117.26039883717345,-4.577515747655815,-1.3844025042035542,-283252.06815285084,-9.987798906314044,-114.5934331873148,1.5107435177879593,268394.0227896773,-1.3661067759304195,0.6007458706116028,90.61895007932492,-62921.02701376339
34.5,"[-0.4636942789738962, -0.8797989897673152, 0.10460092375925839]",785.7807826299338,-117.40613026874068,-4.77723352205308,-1.3878984192939186,-264525.57391190826,-10.19320347146611,-114.59765298613199,1.515317391843313,241817.3420524225,-1.3581261560533295,0.5856952251184733,90.83061099574194,-62700.052094486324
34.5,"[-0.4482437723678985, -0.8877725293234975, 0.10458229636011662]",758.7131333774221,-117.55812319259472,-4.976855941552582,-1.3915002475253098,-246051.81711055554,-10.398800699488756,-114.60823508525128,1.5199484327381834,215596.93091988313,-1.350216707158643,0.570608193291067,91.04692070000092,-62494.50255897889
