f,att_rot,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
233.68,328,127.91776280195559,35.91956142685925,-2.5668038136918065,563413.502667255,-47.9397897026298,130.8483986209217,1.0363529818153145,-939671.9349848415,5.364190198468309,-2.2326738301731255,98.82163866526854,13613.544918550864
233.68,329,128.1124120261851,35.785187599994394,-2.5665148409595213,568965.1935165175,-48.20613642755011,131.0510708230897,1.035869951065043,-947543.6081746283,5.389922901060742,-2.2512682762687715,98.82865836654973,14304.681049090459
233.68,330,128.30457574549257,35.6495421100675,-2.5661717800293835,574296.1927034431,-48.47219752140223,131.25125697200906,1.035355518819392,-955103.6990328521,5.415689891103567,-2.269912635217039,98.83332888316083,14983.64286107258
233.68,331,128.49418738658676,35.51266586631052,-2.565774608412348,579402.9974381998,-48.73789106662042,131.4488906824487,1.0348098792003741,-962347.339143435,5.4415035505171865,-2.2886162709435345,98.83564384529635,15650.515387946669
233.68,332,128.68118455487652,35.37459945970054,-2.5653237110833755,584282.2518074153,-49.003136656915245,131.64390869279492,1.0342331953917447,-969269.827176363,5.467344707953414,-2.3073653902340183,98.83559896587015,16304.571222668745
233.68,333,128.86550897281043,35.23538322548001,-2.5648190195047844,588930.748455963,-49.26785776584774,131.83625261845506,1.0336257297670637,-975866.6936571199,5.493215016542456,-2.3261614973281497,98.83319205676999,16945.61911262976
233.68,334,129.04710546816608,35.09505796228024,-2.5642608509236715,593345.4044900361,-49.53197822466929,132.0258663643849,1.0329877386734472,-982133.6141027445,5.519101221062915,-2.3449950562037083,98.8284230244986,17573.09676813237
233.68,335,129.22592460191845,34.953663015331635,-2.5636493809668717,597523.3314797406,-49.79542649002356,132.21269932238997,1.0323193630454637,-988066.5213212656,5.544991486683663,-2.363857548274886,98.8212938796625,18186.47712322689
233.68,336,129.40191722081465,34.8112403986426,-2.562985025739742,601461.7045315738,-50.058132963859606,132.39670402274308,1.0316212119732606,-993661.5437466891,5.570878226037565,-2.3827435717425574,98.81180873525496,18785.345480255648
233.68,337,129.57504363004014,34.6678279432613,-2.5622680993683744,605157.9737496964,-50.32003247935885,132.57783901752256,1.0308934277213646,-998915.0605178658,5.596755376027646,-2.401648866204304,98.79997380536636,19369.3291544199
233.68,338,129.7452631362903,34.523466698292324,-2.56149882720093,608609.6434377342,-50.58106167735824,132.75606535861345,1.0301362823478422,-1003823.6539804548,5.622612298057797,-2.420565634043136,98.7857973770734,19937.947909135793
233.68,339,129.9125449153046,34.378193490856546,-2.560678005081292,611814.511245776,-50.841161842251836,132.93134998952846,1.0293504018716741,-1008384.1703802537,5.648443992686813,-2.4394904392300374,98.76928982862276,20490.86724759353
233.68,340,130.07685805175936,34.23204782346837,-2.5598059344594244,614770.4336133754,-51.10027715846836,133.10366388703278,1.0285359409666495,-1012593.6829462764,5.6742359041041,-2.458412538487925,98.7504635833242,21027.51566077326
233.68,341,130.2381787887479,34.08506660468974,-2.5588830970880028,617475.5108814418,-51.35835676434605,133.27298354697461,1.027693590422419,-1016449.5454350748,5.699984532841998,-2.4773294750932715,98.72933312038768,21547.60559763822
233.68,342,130.3964887125245,33.93728552863125,-2.5579104356072646,619928.0399090354,-51.615352323231775,133.43928941469864,1.0268239167367246,-1019949.3316339332,5.725675629200737,-2.496230771914649,98.70591491845062,22050.588436214297
233.68,343,130.55177201712755,33.78874095935165,-2.556888133329334,622126.4483160733,-51.87122222717566,133.60256869213873,1.025926925845333,-1023090.9420292907,5.751307813328883,-2.515115340554212,98.68022745584932,22536.24406186828
233.68,344,130.70402001167497,33.63946663053764,-2.5558171141013157,624069.4083027388,-52.12592591633202,133.76281128800804,1.0250036475819868,-1025872.4621612309,5.776863885374415,-2.5339706099057526,98.6522911694218,23003.961451506013
233.68,345,130.85322731827583,33.48949639230425,-2.5546981340579276,625755.7431932734,-52.37942944088437,133.92001382275384,1.0240542157218342,-1028292.302195505,5.802340069542967,-2.5527936516372525,98.6221284130002,23453.477378981544
233.68,346,130.99939558000906,33.33886134078046,-2.5535318437392855,627184.5179821512,-52.63170291614261,134.07417771602553,1.0230793825483266,-1030349.1329445379,5.8277306381395695,-2.571580154344375,98.58976348478478,23884.476740501123
233.68,347,131.1425299574787,33.187592530895685,-2.5523191642770766,628354.9584301596,-52.8827206960475,134.22530932112466,1.0220796873753795,-1032041.8909852274,5.853025987849361,-2.590323050759779,98.55522246396258,24296.56642691993
233.68,348,131.28264072057917,33.035719698463545,-2.551060866277855,629266.4860003822,-53.13246250826704,134.37342069631185,1.0210557735477621,-1033369.8047066776,5.878213089024263,-2.609012488922514,98.51853329969337,24689.27539505666
233.68,349,131.4197443566632,32.883270147747766,-2.549757751459236,629918.7471917862,-53.3809120466569,134.5185284160005,1.0200079987762398,-1034332.3587940529,5.903285053088692,-2.6276433738202343,98.47972564046532,25062.28190380716
233.68,350,131.55386186191495,32.73027027967284,-2.5484109236467827,630311.5724460351,-53.62805978784795,134.6606558672768,1.0189373643213568,-1034929.3644487972,5.928237878157027,-2.64621235002151,98.43883094760015,25415.365665276237
233.68,351,131.68501881317206,32.5767452715118,-2.5470212392383114,630444.9764931529,-53.87389756524948,134.79982893833258,1.017844206840679,-1035160.8195764134,5.953057889503489,-2.6647093796981736,98.39588229373805,25748.05630719429
233.68,352,131.81324700675998,32.42271790011666,-2.545589741145888,630319.1999515909,-54.11842574382422,134.93608137489286,1.0167293732253426,-1035027.0881920859,5.977740616515818,-2.683130739335684,98.3509143802543,26060.131421823105
233.68,353,131.93858244699527,32.26820980201982,-2.54411724502806,629934.6583424581,-54.36164796353607,135.06945079902098,1.0155933963942232,-1034528.7660371697,6.002280302755247,-2.7014720706095146,98.30396347616653,26351.34139120506
233.68,354,132.06106665006072,32.113240796283975,-2.542605101427733,629291.972537358,-54.60357323077542,135.19998039577965,1.0144371781217627,-1033666.727577303,6.0266534781623,-2.7197156513888294,98.2550673814635,26621.017965371637
233.68,355,132.18074617901902,31.957828543663886,-2.5410541246671787,628391.9602306135,-54.8442137188285,135.3277168409257,1.0132610040423997,-1032442.0751207363,6.050878912441911,-2.737875099102362,98.20426530943152,26869.532045287102
233.68,356,132.2976712267978,31.801990165132878,-2.539465690488105,627235.5951410327,-55.08358968712377,135.45271428702983,1.0120659360068767,-1030856.2494712474,6.074931807602135,-2.75593181282059,98.15159788617703,27096.198403907234
