f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,,ph3,O1/G1,O2/G2,O3/G3
233.68,96,126.8442004,135.3597672,92.58848441,91.09840669,89.59402865,3.266335655,14.23355271,-68.47193332,84.10874385,-21.73355034,-1864.760965,1424.921849,-499.4892119
233.68,97,126.6708584,135.0855618,92.54051315,91.09960839,89.59333607,3.25333997,14.29363974,-68.52672686,84.25849053,-21.66938709,-1960.619566,1552.043752,-509.0337318
233.68,98,126.4953536,134.8056881,92.49372848,91.10084635,89.59261507,3.240119234,14.35607348,-68.58377065,84.41189003,-21.60370656,-2056.005494,1678.734417,-518.4826861
233.68,99,126.317784,134.5203272,92.44812316,91.1021198,89.59186603,3.22668349,14.42081563,-68.64303792,84.56885246,-21.53652411,-2150.878085,1804.94813,-527.8320088
233.68,100,126.1382528,134.2296662,92.40368966,91.1034277,89.59108941,3.213045774,14.48782379,-68.70450022,84.72928706,-21.46786852,-2245.196249,1930.639211,-537.0768882
233.68,101,125.9568627,133.9338982,92.36041965,91.10476926,89.59028567,3.199215844,14.5570558,-68.76812722,84.89309982,-21.3977549,-2338.920004,2055.761929,-546.2136469
233.68,102,125.7737204,133.6332197,92.31830441,91.10614349,89.58945524,3.185204203,14.62846641,-68.83388738,85.0601959,-21.32620042,-2432.009406,2180.270802,-555.238313
233.68,103,125.5889343,133.3278331,92.27733493,91.10754942,89.58859862,3.171023143,14.70200893,-68.9017472,85.2304779,-21.2532341,-2524.42508,2304.120312,-564.1471756
233.68,104,125.4026139,133.0179438,92.23750159,91.10898604,89.58771628,3.156683307,14.77763515,-68.97167194,85.40384762,-21.17887663,-2616.12819,2427.265206,-572.9365669
233.68,105,125.214871,132.7037615,92.19879449,91.11045225,89.58680882,3.142196278,14.85529494,-69.04362518,85.5802048,-21.10315542,-2707.080365,2549.660345,-581.6031728
233.68,106,125.0258179,132.3854989,92.16120313,91.11194712,89.58587671,3.127571604,14.93493697,-69.11756906,85.75944794,-21.02608749,-2797.243914,2671.260806,-590.1440129
