rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3
0.0,30.08043680048371,13.514048242771866,61.75867959596981,-101.53150084454,63.28721346652577,-0.5144195826812663,-68214.68235831641,-74.93109715070915,-91.34656930744318,2.601206348644326,-26164.915433293325,0.24779946696082056,1.5716484585925004,92.76147080615459,-56813.52255886131
2.0,30.08044169531501,13.514049202364683,61.7586800125396,-103.67834246952005,59.70526160821397,-0.5144195957067287,-68214.67753808171,-71.69750184476032,-93.90598135447594,2.6012063545422914,-26164.913213975673,0.19279882541396356,1.5793372629371927,92.76147080561432,-56813.51108497788
4.0,30.080432721824273,13.514048845028798,61.75867970983071,-105.69886808487858,56.05056992880448,-0.5144196154557942,-68214.68510182518,-68.37655419329654,-96.35098287122403,2.601206356337043,-26164.91472802479,0.1375633273363291,1.5851034568216043,92.76147080574549,-56813.509422831245
6.0,30.08044307777301,13.514053806026919,61.758679568546825,-107.5906158266347,52.32758772270118,-0.514419595456951,-68214.68231166729,-64.97230019791273,-98.67859613168098,2.601206355999084,-26164.91236613329,0.08216001398407517,1.5889405817917301,92.76147080601174,-56813.520775259414
8.0,30.08043801822543,13.514053253887875,61.75867927888266,-109.3512809928524,48.540852736353095,-0.5144195991515826,-68214.68163468485,-61.48888745763888,-100.88598458910658,2.60120635327407,-26164.910906354224,0.02665725700620398,1.5908364151655425,92.76147080575085,-56813.49781677831
10.0,30.080443942845577,13.514051906172687,61.758679948589084,-110.97871855813031,44.69497874773806,-0.5144195866858355,-68214.68483803484,-57.9305601061146,-102.97045821193213,2.60120635251563,-26164.914921145242,-0.02887816754124095,1.5907964843493367,92.76147080577024,-56813.4897341129
12.0,30.080447775203154,13.514051476787676,61.75867971406826,-112.4709454894382,40.794649905567915,-0.5144195922845968,-68214.6817095812,-54.301653146367386,-104.92947906727677,2.6012063508572574,-26164.91294176329,-0.08437903869137152,1.5888217573072563,92.76147080585837,-56813.5047713703
14.0,30.080441120694847,13.514049735012314,61.75867999924778,-113.82614398139361,36.84461952897195,-0.51441961150511,-68214.68182962314,-50.606588065040775,-106.76065912056106,2.601206352115828,-26164.913698970293,-0.1397773225963011,1.5849114685962085,92.76147080610141,-56813.519908678325
16.0,30.08044274646559,13.514048346590812,61.75868005030631,-115.04266279444663,32.84969945939741,-0.5144195985030798,-68214.68055301342,-46.849866614016776,-108.46176791234389,2.601206356326617,-26164.913361551724,-0.1950033352138824,1.579062860884632,92.76147080557595,-56813.48708425343
18.0,30.080440402868675,13.514051026313584,61.75867936786965,-116.11902015794949,28.814758100525815,-0.5144195955270944,-68214.68639153868,-43.036065920587156,-110.03073242086695,2.601206354332383,-26164.91532427509,-0.2499942478939037,1.5712990728825162,92.76147080562055,-56813.51161621693
20.0,30.080440853507667,13.51405268220075,61.75867988308096,-117.05390396845446,24.74470908802614,-0.5144195786278708,-68214.68285281467,-39.16983228747361,-111.46564182427768,2.6012063541502704,-26164.914550440757,-0.3046784366162551,1.561614289656858,92.76147080555141,-56813.49207927467
21.999999999999996,30.080433923083493,13.514052667423146,61.758679431858724,-117.84617585621938,20.644513116441736,-0.5144195937099314,-68214.6841917977,-35.25587630527922,-112.76474734923752,2.6012063517691812,-26164.914892931105,-0.35899256574081534,1.5500303304897165,92.76147080564104,-56813.49495897513
24.0,30.080447252395196,13.514056205341328,61.75867997160082,-118.49487008470696,16.519164402848723,-0.5144195866341867,-68214.68114324185,-31.298966436932556,-113.92646647918949,2.601206355840412,-26164.91468700096,-0.41287132157080414,1.5365622425971495,92.76147080596841,-56813.52882230651
26.000000000000004,30.080443824610526,13.514054368264599,61.75867972903599,-118.99919699641949,12.373690580109958,-0.51441959348775,-68214.68516048456,-27.303923404290526,-114.9493841528343,2.601206350513731,-26164.91153202602,-0.4662437417619025,1.5212145458166246,92.76147080563321,-56813.51001264385
28.0,30.08044413477278,13.514058768148603,61.75867911715359,-119.35854135235468,8.213140550387799,-0.514419598299398,-68214.68335506595,-23.275614871831255,-115.83225340434512,2.6012063559892735,-26164.910565479513,-0.519049441795831,1.504016343587105,92.76147080587526,-56813.510665664035
29.999999999999996,30.08044291340315,13.5140542593853,61.75868002709766,-119.57246562810467,4.042583964591142,-0.5144196010306059,-68214.68081223349,-19.218948763891543,-116.57399857356599,2.6012063543386317,-26164.912083476218,-0.571222563368556,1.4849854330457062,92.76147080566759,-56813.51000805318
32.0,30.08043620934392,13.51405195455027,61.75867815015753,-119.64071140920873,-0.13289441068567004,-0.5144195842895036,-68214.70413684586,-15.138867128638468,-117.17371662989072,2.6012063548634847,-26164.910906071495,-0.622699483188707,1.4641448696773287,92.76147080585348,-56813.505465688366
34.0,30.080438283228897,13.514048757127195,61.75868021317422,-119.56318964709712,-4.308216929293374,-0.5144196116330106,-68214.68254153906,-11.040341454066752,-117.63067603950135,2.601206353422639,-26164.91390653397,-0.6734180815548741,1.4415210521157862,92.76147080568252,-56813.50553978575
36.0,30.080436544393276,13.514044359346071,61.758679483160215,-119.34000064064476,-8.478287263974176,-0.5144196088693352,-68214.68539987129,-6.928364330084287,-117.94432131874807,2.601206357112111,-26164.911171532844,-0.7233181330284725,1.4171436121565912,92.76147080607512,-56813.526529317205
38.0,30.080431588447173,13.514049382459048,61.75867958999012,-118.97141350310775,-12.638029086523996,-0.5144195963323672,-68214.6802149943,-2.8079461916637904,-118.11426939533483,2.6012063526623983,-26164.910104278242,-0.7723351133675757,1.39103691303114,92.76147080611999,-56813.526096508656
40.0,30.08044095061064,13.51405532674923,61.75868003980729,-118.4578789632594,-16.7823722016023,-0.5144195941721019,-68214.68853775878,1.3158924070980795,-118.14031270832174,2.601206351689179,-26164.913592692494,-0.8204130263327096,1.3632376962681625,92.76147079184261,-56813.5499672373
42.0,30.080434196901265,13.514046464868612,61.75867920743626,-117.80002102205339,-20.906269491084146,-0.5144196047423949,-68214.68266423624,5.438128287997216,-118.02242088200384,2.6012063529013902,-26164.914417226926,-0.8674877327394487,1.333773212411786,92.76147080611554,-56813.52788376101
43.99999999999999,30.080432272086917,13.51404865166381,61.7586798209265,-116.99864191276298,-25.004695645943166,-0.5144195840540539,-68214.6803402065,9.553738885948142,-117.76073715103799,2.6012063530473934,-26164.911823540344,-0.913506722599334,1.3026852445035155,92.76147080609437,-56813.52259939092
46.0,30.08043756063329,13.51405321476075,61.75867932763605,-116.05471848760979,-29.07265690943774,-0.5144196119078227,-68214.68301687943,13.657709475916192,-117.35557982491048,2.6012063501347393,-26164.911628682137,-0.9584132887194596,1.2700107459489405,92.76147080612078,-56813.52221826987
48.0,30.08043945340017,13.514053378438884,61.75867947972845,-114.96939977986843,-33.10519808978228,-0.5144195951929039,-68214.6809527941,17.74504009953465,-116.80744266232513,2.601206355425745,-26164.913121283407,-1.002151180572605,1.235788033401846,92.76147080632819,-56813.51193069479
50.0,30.08042691033616,13.514050841992827,61.758679528018966,-113.74400939137722,-37.09740497101224,-0.5144195955600609,-68214.68641613226,21.810751170558227,-116.11699368114813,2.601206350666523,-26164.91380580107,-1.044667358950733,1.2000592117320905,92.76147080576214,-56813.50002781825
52.00000000000001,30.08043819216629,13.514052609481993,61.75867956419869,-112.38003869984946,-41.04441503363231,-0.5144196026701962,-68214.68511210977,25.849889408634343,-115.28507420092998,2.6012063555069393,-26164.91281777226,-1.0859135887341629,1.1628707088386692,92.76147080572716,-56813.508840080045
54.0,30.08043290197966,13.514048741962162,61.75867921494418,-110.8791505315501,-44.94141857239624,-0.5144195937618044,-68214.68628728196,29.857533400313404,-114.31269750312423,2.6012063512477965,-26164.91299714288,-1.1258335303379203,1.1242629281409604,92.76147080557888,-56813.492014411866
56.0,30.08043787761346,13.514050744839802,61.75867985244658,-109.24317264865772,-48.78366829886404,-0.5144195779418216,-68214.68291901179,33.8288001888434,-113.20104812638625,2.601206352774155,-26164.916392821375,-1.1643846874157384,1.0842875537972476,92.7614708055778,-56813.49802019139
58.0,30.080433289478197,13.514052227193003,61.758679535627564,-107.47409955956714,-52.56648211860014,-0.5144195996483893,-68214.68588567953,37.75885244133375,-111.95148115421792,2.601206354965194,-26164.91446124771,-1.2015180978832343,1.0429916212007337,92.76147080585488,-56813.51019277084
59.99999999999999,30.080452420304024,13.514051235541316,61.75867981625987,-105.57408467007765,-56.28525248341606,-0.5144195925807284,-68214.6796407679,41.64290121589273,-110.56551844798521,2.6012063497038604,-26164.913672748546,-1.2371859456701613,1.0004238220434405,92.76147080592916,-56813.50896909254
62.0,30.080434685850097,13.51404750774235,61.7586797197331,-103.5454457739493,-59.93544693533681,-0.5144195874581231,-68214.68705950826,45.476213649496714,-109.04484821264549,2.6012063501513243,-26164.919701298568,-1.2713460947703754,0.9566369466632376,92.76147080511059,-56813.5080983425
64.0,30.08044189927476,13.5140540524809,61.75867989079763,-101.39065165137686,-63.512619873269806,-0.5144195997485673,-68214.68626368475,49.25412165854987,-107.39132434608541,2.6012063532898932,-26164.915397379176,-1.3039564586744914,0.9116842166556633,92.76147080529593,-56813.497260001444
