rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3
0.0,34.69598716512976,28.03972010789876,88.01771876802513,16.00080242437758,-100.75387540745396,1.6315048274378616,90147.85968362373,81.59467054763807,37.54597077230582,23.54070404802119,-70630.8070122821,-0.07916809048697132,-1.932186137787666,111.4836693355205,-68770.85393977896
3.0,34.69591595347943,28.039727060061857,88.01771875639699,21.2519242894178,-99.77837834783448,1.6315048274366357,90147.85967869798,79.51784359083533,41.76485071946764,23.540704047579766,-70630.80826715942,0.022063324486040453,-1.9336830761945158,111.48366934854644,-68770.85401826778
6.0,34.69591889699157,28.039727863323687,88.01771892317493,26.44479610478531,-98.5293957372753,1.631504827683816,90147.85970518793,77.22306381087255,45.869255223755,23.540704047253364,-70630.80692479634,0.12323401574024656,-1.9298762765423492,111.48366933538291,-68770.85566585565
9.0,34.69585455698767,28.039715918949533,88.01771868672235,31.565184599213744,-97.01035107692528,1.6315048283281395,90147.85986220957,74.716620939271,49.847936002409874,23.54070404949596,-70630.80484070862,0.2240677279495934,-1.9207860902066747,111.48366936295116,-68770.84875027821
12.0,34.695903859543954,28.039729435709738,88.0177190190869,36.599055063168834,-95.22540747769526,1.6315048270821375,90147.85966700036,72.00538508751626,53.68998655202716,23.540704047249427,-70630.80581656288,0.32428595316682823,-1.9064229257143839,111.48366933623593,-68770.85112433476
14.999999999999998,34.69592343572931,28.03972889040615,88.01771881258878,41.532610105738726,-93.17945788332216,1.6315048274259647,90147.85979462547,69.09678724497118,57.38487766492921,23.5407040493716,-70630.8075275787,0.4236161024239564,-1.8868387236103819,111.48366932789526,-68770.85374642852
18.0,34.69595183621598,28.039714785699616,88.01771898422894,46.3523271154461,-90.87810974189685,1.6315048270569292,90147.85964078286,65.99880013675944,60.92247983880669,23.54070404756009,-70630.80712870772,0.5217843865049026,-1.8620804985037387,111.48366933651478,-68770.85294559792
21.0,34.69590459256246,28.039708401879356,88.0177189156773,51.04499563864677,-88.32767109155763,1.631504827574713,90147.85966580489,62.71991489574741,64.29309785875165,23.540704047744804,-70630.80651851473,0.6185244662442538,-1.8322241218686193,111.48366933561876,-68770.85136201391
24.0,34.69592357191707,28.03971221182163,88.01771908286446,55.59775336531517,-85.53513240729887,1.6315048275493087,90147.85962757934,59.269118895812646,67.48749262902346,23.540704047854742,-70630.80530212584,0.713567834947983,-1.7973417018817104,111.48366933578298,-68770.85200401593
27.0,34.69590292799847,28.039727611359933,88.01771891754072,59.99812146979864,-82.5081477935688,1.6315048263578387,90147.85952481705,55.65586957827483,70.49691054838966,23.540704048849946,-70630.80813559741,0.806655356449365,-1.7575329975918081,111.4836693543292,-68770.85249369388
29.999999999999996,34.69595448306623,28.039721563912792,88.01771903852635,64.23403902918383,-79.25501433039761,1.6315048262398395,90147.8596513613,51.89007253005978,73.31309905412076,23.540704046446162,-70630.80564854464,0.8975308104416637,-1.712905126552601,111.48366933000062,-68770.85598283788
33.0,34.69591693833804,28.03971514025617,88.01771872425516,68.29389550585951,-75.78464828046361,1.631504828275154,90147.85979750301,47.98204729334491,75.9283434322477,23.54070404841468,-70630.80739081063,0.9859491200866382,-1.6635873009599393,111.48366932073449,-68770.85321744977
36.0,34.695905542890145,28.039715460563613,88.01771881390724,72.16656314789851,-72.10656174897035,1.6315048282861333,90147.85978275757,43.942507018807966,78.33547271793535,23.540704046972596,-70630.80965675326,1.0716608288724556,-1.6097033780356083,111.48366933720347,-68770.85762825681
39.0,34.69590410425087,28.039722014131172,88.01771918034547,75.84142706907274,-68.2308359125692,1.6315048276013355,90147.85946709779,39.78252396621297,80.52788918111379,23.540704047191575,-70630.80707351114,1.1544365098646652,-1.5514096824466983,111.48366932717562,-68770.85704241075
42.0,34.695917255648446,28.03972558581504,88.01771907379361,79.30841506330904,-64.1680943055041,1.6315048276602917,90147.85948069111,35.51349901179852,82.4995852881087,23.540704048692035,-70630.80695862633,1.2340500776218657,-1.4888662942988349,111.48366933698921,-68770.86057260202
45.0,34.695957224911965,28.03971212334894,88.01771899642311,82.55802433077287,-59.92947253710325,1.6315048272850776,90147.85966396116,31.147134540798934,84.24515516435382,23.540704047033973,-70630.80653037934,1.310282267486017,-1.4222428288388984,111.48366933564847,-68770.85266905162
48.0,34.69595890563631,28.039724709889594,88.0177189742224,85.58134762610693,-55.52658808126307,1.631504826010838,90147.85952207976,26.695397497051957,85.7598153770455,23.540704047187802,-70630.80579933722,1.3829173652253632,-1.351715525362374,111.483669332334,-68770.8609837388
51.0,34.69588500076224,28.039718149916162,88.01771885797626,88.37009852653361,-50.97150922060966,1.6315048277263737,90147.85970869014,22.17049061559759,87.03941354442337,23.540704047552254,-70630.80667533465,1.4517698526926457,-1.2774903154868857,111.48366933571444,-68770.85150842219
54.0,34.69592510074252,28.039715356552463,88.01771907006685,90.91663300524985,-46.276720895488644,1.6315048278986057,90147.85971739625,17.584816196626704,88.0804425846685,23.54070404760908,-70630.80562479247,1.5166358887611917,-1.1997575964755693,111.48366933330111,-68770.85794971924
57.00000000000001,34.69592231593659,28.03971904259307,88.01771865963418,93.21397148036237,-41.455091407917365,1.6315048275501305,90147.85992677853,12.950942005771294,88.8800499710918,23.540704046946498,-70630.80752474577,1.5773535677079904,-1.118742464913633,111.48366930848078,-68770.8460207536
59.99999999999999,34.69588556985405,28.039714664202418,88.0177189297958,95.2558166746743,-36.519836229577066,1.6315048287043272,90147.85969441218,8.281570742598287,89.43604290974632,23.540704045816398,-70630.80749350868,1.633736637825312,-1.0346536995218438,111.48366935245522,-68770.85491596039
63.0,34.695943034268105,28.03972906597609,88.0177186033762,97.03657240531808,-31.484482794926368,1.6315048272481454,90147.85959107698,3.5894993793674357,89.74689833590924,23.540704041916193,-70630.80852803565,1.6856561020517007,-0.9477370852156948,111.48366933641795,-68770.8429936071
66.0,34.69590538877372,28.039721258923183,88.01771894683871,98.55135782940079,-26.362832665555644,1.6315048275037927,90147.85981763473,-1.1124070817787022,89.8117620560037,23.54070402580585,-70630.80531891197,1.7329453966560546,-0.8582172637210423,111.48366932231204,-68770.84479463843
68.99999999999999,34.69591893349775,28.039717423379066,88.01771795524887,99.79602060059209,-21.16892374113205,1.6315048276473891,90147.8597024411,-5.811274136556584,89.6304620120806,23.540704045330678,-70630.81624754646,1.7754783362713007,-0.7663427739643933,111.48366933427502,-68770.85380072001
72.0,34.6959181673958,28.0397211282653,88.01771870222935,100.76714951203154,-15.916992305789758,1.6315048269864565,90147.85970108784,-10.494200711936461,89.20348628707605,23.540704046932674,-70630.80767744759,1.813158747412341,-0.6723732380783743,111.48366933617085,-68770.8463476681
75.00000000000001,34.695921576671424,28.039718193505834,88.01771880005205,101.46208265285298,-10.621433494562648,1.6315048277059552,90147.85972320432,-15.148368211463993,88.53201189508788,23.54070404791364,-70630.80754570945,1.845860279507408,-0.576557610796617,111.4836693354262,-68770.85305103016
78.0,34.69589821917743,28.039728881855957,88.0177188181924,101.87891543056134,-5.2967621015359425,1.6315048260204674,90147.85978584528,-19.761015335905164,87.61787749891565,23.540704047880958,-70630.80695633659,1.8734996394585361,-0.47916135625435463,111.48366931412433,-68770.86035283553
81.0,34.69589584253071,28.03971406463206,88.01771890824497,102.01650487270682,0.0424274083001933,1.6315048283243738,90147.85971428176,-24.319498614005337,86.46358855637486,23.540704047336764,-70630.80659051596,1.8960135133257467,-0.3804539449460405,111.4836693356005,-68770.85350948674
84.0,34.695913091801,28.0397225376143,88.01771899718524,101.87447433852492,5.381500597370435,1.6315048273628436,90147.859762937,-28.81132399366904,85.07230897897092,23.540704045863816,-70630.80429954898,1.9133240648726564,-0.2807026152829407,111.483669355962,-68770.85777445979
87.0,34.69585848682299,28.039721786477386,88.01771899457252,101.45321280734493,10.705823472532527,1.6315048269478525,90147.85972086256,-33.22417962349234,83.44785214111855,23.540704044819694,-70630.80556538659,1.925396554046832,-0.18018248365615983,111.48366933299735,-68770.8518633722
90.0,34.69592151196925,28.039724753355326,88.01771892864961,100.7538752903252,16.000802421662762,1.6315048270760688,90147.85969143148,-37.54597062005194,81.5946705466081,23.540704047825358,-70630.80556237548,1.9321867901044882,-0.07916809700768891,111.48366933760308,-68770.85093383066
93.00000000000001,34.69594934010154,28.03972095354343,88.01771896542937,99.77837828140296,21.2519242849955,1.6315048272002048,90147.85963891965,-41.764849538130996,79.51784365046224,23.54070404688677,-70630.80542139417,1.9336834162190037,0.02206331579297153,111.48366933581941,-68770.85126562914
