rotate_ang,res_dmxl_x,res_dmxl_y,res_dmxl_z,G11,G12,G13,O1,G21,G22,G23,O2,G31,G32,G33,O3
0.0,21.205949034628162,46.5882439281394,74.02081325074947,-103.82834612094662,66.64211920512267,7.176069682280402,-6137.910446923622,-75.09531991393831,-98.1868414746383,9.054714992883815,-151382.38332931852,0.03127375883530036,1.376588705867077,72.25487919020567,-35450.772936810325
2.0,21.20595692090284,46.58824461849288,74.02081351242317,-106.09087307977977,62.97796452665224,7.176069685657896,-6137.939193386877,-71.62290252116568,-100.74781764632078,9.05471499196218,-151382.38527099023,-0.016787545829390474,1.3768415606240876,72.2548791901726,-35450.77306726876
4.0,21.20594148603045,46.58824540443837,74.02081341113517,-108.22414478114095,59.23708383463248,7.176069682830161,-6137.889494420322,-68.063223653943,-103.18604805637658,9.054714991031265,-151382.38549221802,-0.06482840068812505,1.375417024484522,72.25487919013742,-35450.77097023328
6.0,21.205941904911782,46.588245623132984,74.02081268453192,-110.22556181387075,55.42402854671197,7.176069685466962,-6137.929029838553,-64.42062023555384,-105.49856213181157,9.054714990845188,-151382.38491024048,-0.11279025914332534,1.3723165534827215,72.25487919028969,-35450.77435314328
8.0,21.205951381610237,46.5882433965904,74.02081327722074,-112.09268574205538,51.54344667594525,7.1760696864683995,-6137.994213597684,-60.69953020962772,-107.68254250599685,9.054714991921474,-151382.38555908902,-0.16061471876214323,1.3675443639544913,72.25487919008745,-35450.771309019525
10.0,21.205949413737553,46.588239764238125,74.02081266568663,-113.8232425198277,47.60007099558749,7.176069684388417,-6137.95326547801,-56.90448716087994,-109.73532825244772,9.054714991492713,-151382.38522331213,-0.20824349448413285,1.3611059256398716,72.25487919009156,-35450.7711411064
12.0,21.20595619785991,46.58824357226888,74.02081340213168,-115.41512321900946,43.59870148943065,7.176069681906012,-6137.924679620568,-53.0401147559405,-111.65441842897705,9.054714992001587,-151382.3855396045,-0.25561855945197165,1.3530092193123426,72.25487919010999,-35450.77026019516
14.0,21.20594589414106,46.58824518309253,74.02081188990427,-116.86638799285095,39.54421186146109,7.1760696856794635,-6137.945719840801,-49.111121137891686,-113.43747490535802,9.054714991665154,-151382.38612492738,-0.3026821729262352,1.3432640102253135,72.25487919012672,-35450.77119106969
16.0,21.205956781898077,46.58823889208211,74.02081378178845,-118.17526899557308,35.44154362613253,7.176069684890027,-6137.969241667198,-45.12229325550705,-115.082325035869,9.054714991882829,-151382.37960289468,-0.34937700911680736,1.3318822355106472,72.25487919021963,-35450.77212560829
18.0,21.205948978154233,46.58824134025607,74.02081417823351,-119.34017215124811,31.295697113795867,7.176069684843656,-6137.943171889097,-41.07849069330645,-116.58696549457156,9.054714990946342,-151382.3845645178,-0.3956461993574512,1.3188778055345838,72.2548791901091,-35450.772274276846
