Timestamp,att_gei_x,att_gei_y,att_gei_z
2021-03-17/18:29:27.680176,0.8733163227427032,-0.47553017621134097,0.10578115117341962
2021-03-17/18:29:27.780176,0.8733162953482644,-0.4755302226152044,0.1057811686776113
2021-03-17/18:29:27.880176,0.8733162679537603,-0.4755302690191785,0.1057811861818447
2021-03-17/18:29:27.980176,0.8733162405593214,-0.4755303154230419,0.10578120368603638
2021-03-17/18:29:28.080176,0.8733162131648172,-0.47553036182701597,0.1057812211902698
2021-03-17/18:29:28.180176,0.8733161857703784,-0.4755304082308794,0.10578123869446146
2021-03-17/18:29:28.280176,0.8733161583759396,-0.47553045463474286,0.10578125619865314
2021-03-17/18:29:28.380176,0.8733161309814355,-0.4755305010387169,0.10578127370288655
2021-03-17/18:29:28.480176,0.8733161035869966,-0.47553054744258033,0.10578129120707823
2021-03-17/18:29:28.580176,0.8733160761924924,-0.4755305938465544,0.10578130871131164
2021-03-17/18:29:28.680176,0.8733160487980536,-0.47553064025041786,0.10578132621550332
2021-03-17/18:29:28.780176,0.8733160214036148,-0.4755306866542813,0.10578134371969498
2021-03-17/18:29:28.880176,0.8733159940091106,-0.47553073305825533,0.1057813612239284
2021-03-17/18:29:28.980176,0.8733159666146718,-0.47553077946211875,0.10578137872812007
2021-03-17/18:29:29.080176,0.8733159392201676,-0.47553082586609285,0.10578139623235348
2021-03-17/18:29:29.180176,0.8733159118257288,-0.4755308722699563,0.10578141373654516
2021-03-17/18:29:29.280167,0.8733158844337066,-0.4755309186697262,0.1057814312391927
2021-03-17/18:29:29.380167,0.8733158570392677,-0.4755309650735896,0.10578144874338438
2021-03-17/18:29:29.480167,0.8733158296448289,-0.475531011477453,0.10578146624757606
2021-03-17/18:29:29.580167,0.8733158022503247,-0.47553105788142713,0.10578148375180947
2021-03-17/18:29:29.680167,0.8733157748558859,-0.47553110428529055,0.10578150125600115
2021-03-17/18:29:29.780167,0.8733157474613817,-0.4755311506892646,0.10578151876023456
2021-03-17/18:29:29.880167,0.8733157200669429,-0.475531197093128,0.10578153626442624
2021-03-17/18:29:29.980167,0.8733156926725041,-0.4755312434969915,0.1057815537686179
2021-03-17/18:29:30.080167,0.873315665278,-0.47553128990096555,0.10578157127285132
2021-03-17/18:29:30.180167,0.873315637883561,-0.47553133630482897,0.105781588777043
2021-03-17/18:29:30.280167,0.8733156104890569,-0.475531382708803,0.1057816062812764
2021-03-17/18:29:30.380167,0.8733155830946181,-0.4755314291126665,0.10578162378546808
2021-03-17/18:29:30.480167,0.8733155557001793,-0.4755314755165299,0.10578164128965976
2021-03-17/18:29:30.580167,0.8733155283056752,-0.47553152192050396,0.10578165879389317
2021-03-17/18:29:30.680167,0.8733155009112363,-0.4755315683243674,0.10578167629808484
2021-03-17/18:29:30.780167,0.8733154735167321,-0.4755316147283415,0.10578169380231825
2021-03-17/18:29:30.880167,0.8733154461222933,-0.4755316611322049,0.10578171130650993
2021-03-17/18:29:30.980167,0.8733154187278545,-0.4755317075360683,0.10578172881070161
2021-03-17/18:29:31.080167,0.8733153913333503,-0.47553175394004243,0.10578174631493502
2021-03-17/18:29:31.180167,0.8733153639389115,-0.47553180034390585,0.1057817638191267
2021-03-17/18:29:31.280167,0.8733153365444073,-0.4755318467478799,0.10578178132336011
2021-03-17/18:29:31.380167,0.8733153091499685,-0.4755318931517433,0.10578179882755179
2021-03-17/18:29:31.480167,0.8733152817555296,-0.4755319395556068,0.10578181633174345
2021-03-17/18:29:31.580167,0.8733152543610255,-0.47553198595958085,0.10578183383597686
2021-03-17/18:29:31.680167,0.8733152269665867,-0.47553203236344427,0.10578185134016854
2021-03-17/18:29:31.780167,0.8733151995720825,-0.4755320787674183,0.10578186884440195
2021-03-17/18:29:31.880167,0.8733151721776437,-0.4755321251712818,0.10578188634859363
2021-03-17/18:29:31.980167,0.8733151447832048,-0.4755321715751452,0.10578190385278531
2021-03-17/18:29:32.080167,0.8733151173887007,-0.47553221797911926,0.10578192135701872
2021-03-17/18:29:32.180167,0.8733150899942619,-0.4755322643829827,0.1057819388612104
2021-03-17/18:29:32.280167,0.8733150625997577,-0.4755323107869568,0.10578195636544381
2021-03-17/18:29:32.380167,0.8733150352053188,-0.4755323571908202,0.10578197386963548
2021-03-17/18:29:32.480167,0.87331500781088,-0.47553240359468363,0.10578199137382716
2021-03-17/18:29:32.580167,0.8733149804163759,-0.4755324499986577,0.10578200887806057
2021-03-17/18:29:32.680167,0.8733149530219371,-0.47553249640252115,0.10578202638225224
2021-03-17/18:29:32.780167,0.8733149256274328,-0.4755325428064952,0.10578204388648565
2021-03-17/18:29:32.880167,0.873314898232994,-0.4755325892103586,0.10578206139067733
2021-03-17/18:29:32.980167,0.8733148708385552,-0.47553263561422204,0.105782078894869
2021-03-17/18:29:33.080167,0.8733148434440511,-0.47553268201819615,0.10578209639910241
2021-03-17/18:29:33.180167,0.8733148160496123,-0.47553272842205957,0.10578211390329409
